N	4gram	Bakhtin_Pr_3	KFilosof
1	ни в чем не	2	4
2	бы то ни было	4	2
3	бы он ни был	3	2
4	с точки зрения смысла	1	2
5	и ни в чем	1	2
6	в то же время	12	2
7	один и тот же	1	2
8	с точки зрения его	1	1
9	одного и того же	1	1
10	и в этом смысле	1	1
11	и в то же	5	1
12	лежит в основе нашей	1	1
13	с точки зрения формальной	1	1
14	в своем смысле и	1	1
15	но в то же	3	1
16	в непосредственной близости к	1	1
17	и по отношению к	1	1
18	какого бы то ни	1	1
19	несмотря на то что	1	1
20	в этом смысле можно	1	1
