N	2gram	Potebnia_M_2	RusskieA
1	и в	24	29
2	том что	8	22
3	в том	18	22
4	что в	16	22
5	как бы	9	18
6	состоит в	2	15
7	в других	4	15
8	так как	10	13
9	может быть	23	13
10	во время	4	12
11	в этом	8	11
12	как и	7	11
13	одна из	4	11
14	в этот	1	10
15	не только	15	10
16	и с	1	10
17	все это	2	10
18	во многих	3	9
19	а на	1	9
20	о том	5	9
21	в некоторых	4	9
22	а в	8	9
23	с в	2	8
24	его в	3	8
25	а а	2	8
26	но и	9	8
27	ее в	1	8
28	как в	10	7
29	мы видели	1	7
30	или в	2	7
31	через них	1	7
32	мы не	11	6
33	еще не	4	6
34	и на	8	6
35	при этом	13	6
36	таким образом	11	6
37	того чтобы	2	6
38	на нее	1	6
39	для нас	31	6
40	для того	5	6
41	с тем	4	6
42	вместе с	11	6
43	этом случае	1	6
44	же в	5	6
45	и т	6	5
46	но не	12	5
47	но в	4	5
48	на земле	1	5
49	это не	3	5
50	т д	3	5
51	не может	12	5
52	потому что	49	5
53	и что	4	5
54	или же	7	5
55	то что	20	5
56	к этому	2	5
57	то же	12	4
58	вопрос о	2	4
59	на них	1	4
60	видели что	1	4
61	не все	2	4
62	что по	1	4
63	уже не	4	4
64	их в	2	4
65	том же	1	4
66	в них	5	4
67	далеко не	3	4
68	а за	1	4
69	в которых	1	4
70	не в	13	4
71	тогда когда	10	4
72	у нас	2	4
73	что сила	3	4
74	эти представления	1	4
75	к нему	1	4
76	так что	10	4
77	то и	9	4
78	из них	5	4
79	именно в	1	4
80	а не	18	4
81	так же	2	4
82	как это	2	4
83	и все	3	4
84	или вообще	1	4
85	в таком	4	4
86	и о	1	3
87	в ее	1	3
88	только тогда	3	3
89	что это	3	3
90	все эти	2	3
91	что она	3	3
92	главным образом	4	3
93	подобно тому	4	3
94	и по	2	3
95	на этом	2	3
96	и других	2	3
97	с другими	5	3
98	не всегда	1	3
99	в эту	3	3
100	в этих	3	3
101	в котором	4	3
102	в отличие	1	3
103	выше мы	1	3
104	не будем	1	3
105	но он	2	3
106	в таких	1	3
107	не имеет	6	3
108	их по	1	3
109	и другой	1	3
110	как мы	1	3
111	во всех	7	3
112	а именно	1	3
113	того что	7	3
114	что здесь	1	3
115	как например	3	3
116	между тем	6	3
117	связь с	1	3
118	друг друга	2	3
119	отличие от	1	3
120	связаны с	1	3
121	тем что	7	3
122	в природе	5	3
123	по всей	1	3
124	что для	3	3
125	тому как	4	3
126	и от	3	3
127	было бы	13	3
128	но если	2	3
129	вряд ли	3	2
130	также что	2	2
131	одним из	1	2
132	и то	3	2
133	на самом	2	2
134	переход от	1	2
135	в стороне	1	2
136	но она	3	2
137	не совсем	3	2
138	которое в	1	2
139	между собой	1	2
140	с одной	4	2
141	очевидно что	3	2
142	тогда как	10	2
143	с этим	7	2
144	не подтверждается	1	2
145	она как	1	2
146	ней в	1	2
147	все же	5	2
148	а и	5	2
149	и как	6	2
150	не было	6	2
151	этой цели	1	2
152	не можем	6	2
153	в которой	5	2
154	из этих	4	2
155	как оно	2	2
156	не к	1	2
157	том чтобы	1	2
158	но вместе	2	2
159	связанные с	2	2
160	об этом	1	2
161	полагает что	3	2
162	из нее	1	2
163	должно быть	2	2
164	и еще	1	2
165	так в	4	2
166	в их	1	2
167	не столько	2	2
168	должны были	1	2
169	тем не	6	2
170	дают нам	1	2
171	с развитием	1	2
172	не менее	5	2
173	что с	2	2
174	в то	6	2
175	того как	7	2
176	никогда не	4	2
177	к ней	2	2
178	на природу	2	2
179	во всем	2	2
180	связи с	6	2
181	что на	3	2
182	к таким	2	2
183	все то	1	2
184	начиная с	1	2
185	когда мы	2	2
186	что при	1	2
187	должен быть	1	2
188	на другой	2	2
189	то время	4	2
190	таком виде	1	2
191	не с	3	2
192	которые с	1	2
193	не имели	1	2
194	чтобы вызвать	1	2
195	образом в	4	2
196	а к	2	2
197	с другим	1	2
198	влияние на	4	2
199	после того	2	2
200	с другой	6	2
201	все в	1	2
202	связь между	2	2
203	ее от	1	2
204	в ряд	1	2
205	что и	11	2
206	он есть	1	2
207	один из	2	2
208	совсем не	2	2
209	только человек	1	2
210	есть в	2	2
211	одно из	3	2
212	связано с	2	2
213	каждый из	1	2
214	заметить что	6	2
215	на две	2	2
216	чем в	1	2
217	человека а	1	2
218	а с	2	2
