N	2gram	Ircho_Kome_2	VrazhdaK
1	не только	7	9
2	в этом	10	8
3	и в	26	8
4	и что	2	8
5	но и	10	7
6	и все	2	7
7	то что	6	7
8	что в	9	7
9	все же	4	6
10	но в	3	6
11	в нем	6	6
12	как и	4	6
13	в котором	3	6
14	и с	5	6
15	в начале	4	6
16	и даже	1	6
17	то же	3	5
18	об этом	2	5
19	в то	6	5
20	же время	3	5
21	между тем	4	5
22	у него	4	5
23	не было	3	5
24	и не	14	5
25	г а	1	5
26	х годов	2	4
27	в ней	3	4
28	что он	5	4
29	в истории	5	4
30	целый ряд	2	4
31	это не	2	4
32	несмотря на	1	4
33	все это	3	4
34	в виду	2	4
35	с ним	1	4
36	о том	6	4
37	для нас	3	4
38	и детей	1	4
39	уже в	4	4
40	может быть	11	4
41	как бы	2	4
42	так же	1	4
43	речь идет	3	3
44	одним из	2	3
45	он был	2	3
46	в чем	1	3
47	с его	5	3
48	в своем	6	3
49	и как	1	3
50	его в	4	3
51	он не	2	3
52	и уже	1	3
53	том что	9	3
54	и его	12	3
55	связи с	3	3
56	человека в	3	3
57	что у	4	3
58	и во	2	3
59	в его	4	3
60	в том	11	3
61	и у	2	3
62	в конце	2	3
63	тем что	3	3
64	в связи	3	3
65	о себе	1	3
66	наряду с	6	3
67	считал что	1	3
68	т е	1	3
69	к этому	5	3
70	отношения к	1	2
71	б и	4	2
72	столь же	9	2
73	ответ на	3	2
74	человека с	1	2
75	отнюдь не	2	2
76	в той	2	2
77	в этой	3	2
78	в себе	1	2
79	время и	1	2
80	после этого	2	2
81	их в	1	2
82	таким образом	6	2
83	в мире	2	2
84	в глазах	2	2
85	в них	4	2
86	рядом с	2	2
87	а с	1	2
88	мы знаем	3	2
89	не мог	1	2
90	на первый	1	2
91	в эту	1	2
92	во время	6	2
93	точки зрения	4	2
94	в своей	3	2
95	и ее	2	2
96	с точки	1	2
97	место в	4	2
98	не менее	4	2
99	права на	1	2
100	том же	1	2
101	одна из	2	2
102	никогда не	1	2
103	к себе	1	2
104	к типу	1	2
105	его с	1	2
106	на это	2	2
107	время он	1	2
108	и это	2	2
109	же не	2	2
110	на основе	1	2
111	в в	4	2
112	так в	2	2
113	еще не	6	2
114	а также	1	2
115	там же	1	2
116	тем более	1	2
117	после смерти	3	2
118	по мнению	1	2
119	с нею	1	2
120	из них	7	2
121	для него	1	2
122	отношение к	2	2
123	как раз	1	2
124	с которым	2	2
125	о чем	3	2
126	не может	3	2
127	вместе с	9	2
128	в это	2	2
129	же в	4	2
130	а в	3	2
131	а н	1	2
132	в период	3	2
133	в свою	1	2
134	которых не	1	1
135	как известно	2	1
136	того же	3	1
137	идет о	2	1
138	и есть	2	1
139	едва ли	14	1
140	имя его	1	1
141	в их	3	1
142	по его	1	1
143	той же	3	1
144	по объему	1	1
145	не слишком	1	1
146	с юным	1	1
147	равно как	1	1
148	говорить о	2	1
149	хуже чем	1	1
150	в полной	1	1
151	ему в	1	1
152	один пример	1	1
153	и был	2	1
154	это время	3	1
155	собой в	1	1
156	как ему	1	1
157	первый план	1	1
158	служит для	1	1
159	по своему	2	1
160	как правило	3	1
161	но не	3	1
162	о смерти	1	1
163	не все	1	1
164	если в	2	1
165	каком направлении	1	1
166	в комедии	19	1
167	тут же	2	1
168	ничуть не	2	1
169	говорилось выше	1	1
170	ли эта	1	1
171	и я	2	1
172	первый взгляд	1	1
173	независимо от	5	1
174	как в	3	1
175	с этим	5	1
176	для создания	1	1
177	для всех	3	1
178	по которому	1	1
179	как к	1	1
180	не являются	1	1
181	ясно почему	1	1
182	и отчасти	1	1
183	роль играет	1	1
184	в самом	4	1
185	что это	4	1
186	в целом	4	1
187	не был	1	1
188	что же	1	1
189	по-прежнему высоко	1	1
190	только два	1	1
191	выражение в	1	1
192	почти одновременно	1	1
193	встреча с	1	1
194	тому же	11	1
195	как он	3	1
196	лет тому	1	1
197	у женщин	1	1
198	в названных	1	1
199	не могла	1	1
200	в плен	2	1
201	да и	3	1
202	знали что	1	1
203	которой не	1	1
204	же это	1	1
205	в силу	2	1
206	приведенного выше	1	1
207	ее своей	1	1
208	через год	1	1
209	что ни	2	1
210	и этот	1	1
211	и знаменитая	1	1
212	однако в	2	1
213	совпадают с	1	1
214	а их	1	1
215	самим собой	1	1
216	этой традиции	1	1
217	на пять	1	1
218	это было	4	1
219	на пиру	1	1
220	не хуже	1	1
221	было бы	8	1
222	в жизни	1	1
223	из первых	1	1
224	на характер	1	1
225	месте которое	1	1
226	человек который	1	1
227	соответствии с	1	1
228	этого не	1	1
229	не всегда	2	1
230	которой он	1	1
231	он и	1	1
232	в развитии	2	1
233	которую он	1	1
234	в этих	4	1
235	и их	3	1
236	кто верит	1	1
237	можно найти	1	1
238	молодого человека	9	1
239	всяком случае	2	1
240	его современников	3	1
241	представление о	2	1
242	были известны	2	1
243	делает все	1	1
244	из героя	1	1
245	сюжетная ситуация	2	1
246	сам же	1	1
247	ее для	1	1
248	тем не	1	1
249	доказывает что	1	1
250	злой воле	1	1
251	не могли	1	1
252	времени а	1	1
253	но они	1	1
254	тем самым	1	1
255	что эта	1	1
256	это дает	1	1
257	не имеет	3	1
258	правда в	1	1
259	как о	1	1
260	нет необходимости	2	1
261	бедными и	1	1
262	также что	2	1
263	из их	1	1
264	это опять	1	1
265	ничего не	1	1
266	того как	3	1
267	вошедшая в	1	1
268	ему было	1	1
269	иными словами	1	1
270	более что	1	1
271	по своей	1	1
272	такая же	2	1
273	в окно	1	1
274	это слово	4	1
275	потому что	6	1
276	в каком	1	1
277	не знали	1	1
278	вот в	1	1
279	среди них	1	1
280	связывает с	1	1
281	в духе	2	1
282	в речах	2	1
283	и дал	1	1
284	вошли в	1	1
285	похож на	2	1
286	ли не	7	1
287	отличается от	1	1
288	человеческих типов	3	1
289	по всем	2	1
290	постановки вопроса	1	1
291	пять или	1	1
292	свою очередь	1	1
293	в ее	2	1
294	только при	1	1
295	чем говорилось	1	1
296	но мы	1	1
297	то время	3	1
298	роль в	2	1
299	и сам	3	1
300	так и	12	1
301	не с	1	1
302	ясно что	8	1
303	было в	1	1
304	еще в	4	1
305	дворца в	1	1
306	во второй	1	1
307	но у	1	1
308	жизнь и	1	1
309	во всяком	2	1
310	из произведений	3	1
311	второй половине	1	1
312	его жизни	1	1
313	до сих	2	1
314	но об	1	1
315	нас в	1	1
316	это была	1	1
317	к нему	3	1
318	во всех	3	1
319	от них	1	1
320	говорить об	1	1
321	полагали что	1	1
322	я думаю	1	1
323	во всей	1	1
324	я вижу	1	1
325	в другой	2	1
326	вслед за	2	1
327	также в	2	1
328	если это	1	1
329	в литературе	1	1
330	к которому	1	1
331	тех пор	3	1
332	имеется в	1	1
333	этом смысле	2	1
334	один из	5	1
335	сразу же	4	1
336	тому назад	1	1
337	то он	1	1
338	за которую	1	1
339	в качестве	5	1
340	себя в	3	1
341	внимание в	1	1
342	выступают как	1	1
