N	2gram	Vygotskiy__4	BTomashe
1	у нас	4	3
2	и не	13	2
3	больше чем	2	2
4	все это	13	2
5	в ней	6	2
6	можно было	4	2
7	не то	4	2
8	художественного произведения	1	1
9	за пределы	1	1
10	говорить о	3	1
11	будто бы	1	1
12	об этом	4	1
13	и в	33	1
14	и о	4	1
15	со всем	1	1
16	к ней	1	1
17	следовало бы	1	1
18	когда начинает	1	1
19	что все	11	1
20	с другой	2	1
21	в своей	4	1
22	на самом	6	1
23	как будто	8	1
24	не следует	1	1
25	было бы	12	1
26	от значения	1	1
27	все же	5	1
28	всяком случае	3	1
29	а о	1	1
30	скромную роль	1	1
31	никак не	6	1
32	еще не	1	1
33	художественном произведении	1	1
34	и на	5	1
35	в пределах	3	1
36	одной из	1	1
37	забывать что	1	1
38	прежде всего	2	1
39	и во	1	1
40	так и	3	1
41	о них	2	1
42	не было	3	1
43	то как	2	1
44	его не	2	1
45	является только	1	1
46	совершенно не	4	1
47	далеко не	3	1
48	до конца	7	1
49	а не	6	1
50	но автор	2	1
51	что в	21	1
52	другой стороны	2	1
53	стих и	1	1
54	и ее	2	1
55	не все	2	1
56	таким образом	13	1
57	материала по	1	1
58	вопрос о	2	1
59	и более	1	1
60	и потому	2	1
61	не только	7	1
62	во всяком	3	1
63	следует конечно	1	1
64	не воспринималось	1	1
