N	3gram	Tiupa_Narr_1	Problema
1	по отношению к	6	19
2	не может быть	5	11
3	с точки зрения	2	6
4	в отличие от	5	5
5	и прежде всего	1	5
6	не входит в	1	4
7	в данном случае	4	4
8	с другой стороны	4	4
9	во всех его	1	4
10	в конечном счете	2	4
11	на самом деле	1	3
12	в самом деле	1	3
13	в этом смысле	1	3
14	бы то ни	3	3
15	можно было бы	2	3
16	в основе своей	4	3
17	может быть только	1	3
18	далеко не всегда	1	3
19	все то что	1	3
20	с одной стороны	7	3
21	как мы увидим	1	3
22	то же время	3	3
23	в том что	8	3
24	произведение в его	1	3
25	в то же	3	3
26	тем не менее	3	3
27	можно сказать что	4	2
28	как и для	1	2
29	то же самое	1	2
30	в том же	1	2
31	и др в	1	2
32	то или иное	2	2
33	и в то	1	2
34	то есть его	1	2
35	то ни было	3	2
36	не только в	2	2
37	мы имеем дело	2	2
38	того или иного	2	2
39	может и не	1	2
40	так и в	1	2
41	и тем самым	3	2
42	той или иной	4	2
43	не довлеет себе	1	2
44	в этом отношении	3	2
45	именно в том	2	1
46	что иное как	2	1
47	следует отметить что	1	1
48	иметь в виду	1	1
49	а не с	1	1
50	в свою очередь	3	1
51	далеко не все	1	1
52	в этом последнем	1	1
53	подобно тому как	2	1
54	но далеко не	1	1
55	до сих пор	1	1
56	имеет место только	1	1
57	до известной степени	1	1
58	и должна быть	1	1
59	сами по себе	2	1
60	по аналогии с	1	1
61	или хотя бы	1	1
62	могли бы быть	1	1
63	может быть и	1	1
64	а иногда и	1	1
65	и не в	4	1
66	в значительной степени	2	1
67	не что иное	2	1
68	не в его	1	1
69	не о том	1	1
70	отношению к нему	1	1
71	а также и	1	1
72	в равной степени	1	1
73	отношению к которому	2	1
74	по отношению ко	1	1
75	и как бы	1	1
76	имеем дело с	1	1
77	в связи с	2	1
78	в нем не	1	1
79	нем не только	1	1
80	в свое время	1	1
81	по себе не	1	1
82	что не имеет	1	1
83	при решении этой	1	1
84	есть не что	1	1
85	на фоне которых	1	1
86	не может обладать	1	1
87	на протяжении всего	1	1
88	то есть в	2	1
89	и с точки	1	1
90	может быть воспринята	1	1
91	как мы уже	1	1
92	произведения в его	1	1
93	что в плане	1	1
94	в первом случае	2	1
95	перевод его в	1	1
96	как и в	1	1
97	является как бы	1	1
98	дело в том	1	1
99	здесь совершенно не	1	1
100	то есть к	1	1
