N	2gram	Berdyaev_M_1	Narrotol
1	не только	29	31
2	но и	25	27
3	и не	11	23
4	может быть	30	15
5	в частности	1	14
6	как и	5	13
7	а в	4	13
8	а не	25	13
9	в этом	20	12
10	только в	6	12
11	и в	28	11
12	и его	9	10
13	то есть	3	9
14	то что	5	9
15	не может	28	8
16	в том	6	8
17	уже не	4	8
18	на протяжении	2	7
19	у него	17	7
20	если бы	2	7
21	но в	7	7
22	том что	3	7
23	в себе	7	6
24	жизни и	2	6
25	как бы	2	6
26	не в	16	6
27	об этом	1	6
28	в самом	11	6
29	и он	12	6
30	не мог	3	6
31	в его	9	6
32	одного из	1	6
33	к тому	3	6
34	один из	4	6
35	в этой	6	6
36	точки зрения	4	5
37	так и	1	5
38	действующих лиц	1	5
39	в своей	15	5
40	потому что	16	5
41	между двумя	1	5
42	и на	6	5
43	событие в	1	5
44	все же	2	4
45	еще не	1	4
46	прежде всего	10	4
47	к нему	7	4
48	в нем	13	4
49	того чтобы	2	4
50	так в	1	4
51	мира в	1	4
52	в одном	1	4
53	но не	8	4
54	вплоть до	1	4
55	для него	11	4
56	того что	7	4
57	никогда не	14	4
58	истории в	2	4
59	в то	2	4
60	о чем	2	4
61	в мире	10	4
62	у нее	1	4
63	с его	3	4
64	и состоит	1	4
65	о том	2	4
66	к себе	1	4
67	а во	1	4
68	как в	2	4
69	в ней	15	4
70	жизни а	1	3
71	и с	3	3
72	у нас	5	3
73	отношению к	2	3
74	и ее	1	3
75	не было	18	3
76	не менее	1	3
77	и все	10	3
78	в жизни	3	3
79	мы не	1	3
80	в центре	2	3
81	что в	10	3
82	в начале	2	3
83	к чему	2	3
84	быть не	2	3
85	между тем	1	3
86	это не	5	3
87	по отношению	2	3
88	лишь в	6	3
89	и о	1	3
90	для того	2	3
91	мы имеем	1	3
92	не существует	2	3
93	он не	24	3
94	стало быть	1	3
95	начало и	1	3
96	также и	2	3
97	самом деле	1	3
98	что он	10	3
99	и то	1	3
100	как будто	2	3
101	он сам	6	3
102	о нем	2	3
103	и как	2	3
104	еще в	2	3
105	в русской	1	3
106	в своем	10	3
107	точек зрения	1	2
108	и вот	3	2
109	во всяком	1	2
110	входит в	2	2
111	только от	1	2
112	обращено к	1	2
113	и для	2	2
114	для них	3	2
115	что не	1	2
116	к ее	1	2
117	в смысл	1	2
118	сих пор	2	2
119	с ним	2	2
120	его и	1	2
121	хотя бы	3	2
122	своей истории	1	2
123	не вполне	1	2
124	в конце	7	2
125	ключ к	1	2
126	до сих	2	2
127	та же	1	2
128	если в	1	2
129	а на	1	2
130	казалось бы	1	2
131	заключает в	3	2
132	и только	1	2
133	жизни в	2	2
134	оно не	1	2
135	истории он	2	2
136	вместе с	6	2
137	к жизни	1	2
138	и сама	2	2
139	он идет	1	2
140	особенно в	3	2
141	в обоих	1	2
142	человеческого сознания	2	2
143	в той	2	2
144	сознания в	1	2
145	и даже	1	2
146	переход от	1	2
147	в этих	4	2
148	зависимости от	1	2
149	не имеет	3	2
150	и через	1	2
151	отличие от	1	2
152	к его	1	2
153	я в	1	2
154	и от	2	2
155	да и	1	2
156	вот я	1	2
157	сказать что	2	2
158	и еще	3	2
159	ничего не	3	2
160	всяком случае	1	2
161	человеческой жизни	2	2
162	не могло	1	2
163	ему в	1	2
164	по своему	2	2
165	в зависимости	1	2
166	в отличие	1	2
167	она не	4	2
168	до конца	14	2
169	что мы	1	2
170	роль в	1	2
171	о своей	2	2
172	быть и	1	2
173	нас в	1	2
174	если не	1	2
175	она может	2	2
176	чем он	1	2
177	такова что	1	2
178	внутреннюю жизнь	1	2
179	как у	1	2
180	о его	1	2
181	себя в	3	2
182	в области	1	2
183	это было	1	2
184	по своим	1	2
185	она в	1	2
186	в пределах	1	2
187	человека в	13	2
188	жизни как	1	2
189	она была	1	2
190	все что	2	2
191	и после	1	2
192	он уже	6	2
193	он и	2	2
194	к ним	1	2
195	в свою	2	2
196	в динамике	3	1
197	есть на	1	1
198	его от	1	1
199	одним из	2	1
200	в которой	6	1
201	любовь к	2	1
202	момент в	2	1
203	в искусстве	1	1
204	ведет к	6	1
205	человека так	1	1
206	бы но	1	1
207	от которой	1	1
208	приводит к	2	1
209	была в	1	1
210	в значительной	1	1
211	для нас	3	1
212	том случае	1	1
213	и наконец	1	1
214	его на	1	1
215	все время	1	1
216	это все	1	1
217	основной для	1	1
218	то не	1	1
219	этом все	1	1
220	самому себе	2	1
221	мир и	1	1
222	говорит о	1	1
223	он видел	1	1
224	остается на	1	1
225	на том	3	1
226	людей и	2	1
227	в человеческой	4	1
228	так же	1	1
229	отличается от	2	1
230	в более	2	1
231	мировой литературы	1	1
232	тех же	1	1
233	и открывает	1	1
234	для христианской	1	1
235	на этот	2	1
236	только одно	3	1
237	все было	1	1
238	о влиянии	1	1
239	над ним	1	1
240	и всякий	1	1
241	отношение между	1	1
242	христа в	5	1
243	не до	1	1
244	одна и	1	1
245	в иные	1	1
246	людей не	1	1
247	произведения и	1	1
248	бы ни	1	1
249	это еще	1	1
250	иное как	1	1
251	сознания и	1	1
252	бы не	2	1
253	новая история	1	1
254	состояния и	1	1
255	и уж	2	1
256	человек не	10	1
257	не знает	4	1
258	нисколько не	1	1
259	сознанием и	1	1
260	что я	1	1
261	во всех	1	1
262	и смысла	1	1
263	целый ряд	1	1
264	нем не	2	1
265	в их	4	1
266	отношении к	2	1
267	чем его	4	1
268	которой он	1	1
269	с тем	9	1
270	тем как	1	1
271	к исследованию	1	1
272	это верно	1	1
273	нельзя понять	1	1
274	его в	3	1
275	ответ на	1	1
276	ко второй	2	1
277	и я	5	1
278	почувствовал что	2	1
279	нормы а	1	1
280	многообразие человеческого	1	1
281	принадлежит к	1	1
282	за это	1	1
283	по своей	2	1
284	мы еще	2	1
285	случае если	1	1
286	его как	2	1
287	и наоборот	1	1
288	одной из	1	1
289	а именно	1	1
290	впервые в	1	1
291	мир не	2	1
292	имея в	1	1
293	и мировой	1	1
294	она есть	1	1
295	и т	1	1
296	и показывает	1	1
297	из мира	1	1
298	должны были	1	1
299	основывается на	1	1
300	на самом	1	1
301	в него	3	1
302	в первый	1	1
303	они вели	1	1
304	бы из	1	1
305	что иное	1	1
306	человеке в	2	1
307	хотелось бы	1	1
308	в момент	3	1
309	сознание может	1	1
310	в новой	1	1
311	и сам	1	1
312	жизни не	1	1
313	слова а	1	1
314	привести к	4	1
315	в россию	1	1
316	в период	1	1
317	они не	1	1
318	себе а	1	1
319	и каждый	1	1
320	которое может	1	1
321	дома с	1	1
322	же можно	2	1
323	о жизни	1	1
324	интерес к	3	1
325	то и	1	1
326	же мало	1	1
327	это и	4	1
328	образ и	2	1
329	в душе	1	1
330	них не	1	1
331	творчества в	1	1
332	в противоположность	1	1
333	о человеке	23	1
334	своей жизни	1	1
335	за собой	2	1
336	человек и	6	1
337	с большей	1	1
338	и мы	2	1
339	на одном	1	1
340	не на	1	1
341	него нет	1	1
342	как он	2	1
343	только с	1	1
344	в силу	1	1
345	не все	2	1
346	порядка и	1	1
347	природы и	1	1
348	с этим	3	1
349	во всем	1	1
350	во многих	1	1
351	период его	1	1
352	когда она	1	1
353	с той	1	1
354	оказывается что	2	1
355	связано с	2	1
356	мы увидим	3	1
357	еще более	1	1
358	и потому	10	1
