N	2gram	Berdyaev_O_1	formyVre
1	и в	19	50
2	в этом	12	25
3	в нем	10	24
4	человека в	11	17
5	и его	4	16
6	прежде всего	9	15
7	и не	13	14
8	в его	7	13
9	вовсе не	1	13
10	так и	2	12
11	человека и	10	11
12	образа человека	1	11
13	может быть	11	11
14	и как	1	10
15	но в	2	10
16	с его	4	9
17	все эти	4	9
18	не только	11	9
19	ничего не	2	9
20	в том	5	9
21	в конце	1	9
22	в других	2	9
23	и на	2	8
24	в самом	5	8
25	жизни в	2	8
26	его жизни	1	8
27	но и	13	8
28	как и	6	8
29	жизни и	1	8
30	характер и	1	7
31	не было	9	7
32	например в	1	6
33	между двумя	1	6
34	как в	1	6
35	все же	2	6
36	не оставляет	1	6
37	лишь в	7	6
38	это не	3	6
39	так как	2	6
40	в ее	2	6
41	в жизни	1	6
42	у него	22	6
43	то что	5	6
44	в частности	1	6
45	не может	4	6
46	и все	10	6
47	образ человека	2	6
48	и до	1	5
49	еще не	3	5
50	но не	1	5
51	этого типа	1	5
52	не в	11	5
53	он не	7	5
54	того чтобы	4	5
55	в разных	1	5
56	только и	4	5
57	могут быть	3	5
58	если бы	1	5
59	для того	3	5
60	что в	4	5
61	и то	2	4
62	и это	1	4
63	этого мира	2	4
64	уже указывали	1	4
65	в ней	1	4
66	в своем	2	4
67	бытовой жизни	1	4
68	и с	2	4
69	в них	1	4
70	том что	2	4
71	в котором	1	4
72	в процессе	1	4
73	не имеет	2	4
74	потому что	9	4
75	было и	1	4
76	между этими	1	4
77	до конца	7	4
78	нет ничего	7	4
79	своей жизни	2	4
80	все это	6	4
81	и для	2	4
82	отношения к	1	3
83	не имеют	1	3
84	есть не	1	3
85	мы не	1	3
86	в сущности	1	3
87	в виду	1	3
88	дороги и	1	3
89	себе и	1	3
90	хотя и	2	3
91	в себе	3	3
92	его в	2	3
93	и других	1	3
94	в этих	3	3
95	в отношении	1	3
96	что было	1	3
97	этими двумя	1	3
98	жизни не	1	3
99	этом отношении	1	3
100	не могут	3	3
101	все его	1	3
102	человек был	3	3
103	что и	2	3
104	в форме	1	3
105	один из	1	3
106	и ее	3	3
107	со всеми	1	3
108	был бы	1	3
109	одно из	2	3
110	в одном	1	3
111	что не	4	3
112	с тем	2	3
113	а не	11	3
114	человек в	1	3
115	мира в	1	3
116	в одно	1	3
117	и потому	2	3
118	да и	1	3
119	еще более	1	3
