N	2gram	Savitsky_P_1	Tragedij
1	и в	14	18
2	в этом	10	9
3	не только	17	8
4	и с	2	7
5	и на	1	7
6	может быть	5	7
7	как бы	4	7
8	и не	12	7
9	но в	9	6
10	же время	7	6
11	то же	9	5
12	все же	1	5
13	что это	1	5
14	это не	3	5
15	как и	1	5
16	в то	7	5
17	не может	4	5
18	к жизни	1	5
19	а я	5	5
20	еще не	1	4
21	в себе	3	4
22	в этой	1	4
23	в нем	3	4
24	том что	4	4
25	и что	1	4
26	но и	6	4
27	прежде всего	3	4
28	так же	1	4
29	все это	2	4
30	что в	4	4
31	то что	4	4
32	в мире	2	3
33	отнюдь не	2	3
34	в своем	4	3
35	и как	3	3
36	должно быть	2	3
37	тем самым	3	3
38	что с	1	3
39	с ее	1	3
40	iii в	2	3
41	в его	2	3
42	уже в	1	3
43	в основном	1	3
44	никогда не	1	2
45	и то	1	2
46	он был	1	2
47	столь же	3	2
48	с его	1	2
49	отличие от	1	2
50	не просто	1	2
51	и я	1	2
52	в самом	1	2
53	бы и	1	2
54	что все	1	2
55	его в	1	2
56	в это	1	2
57	с тем	3	2
58	в ходе	1	2
59	в отличие	1	2
60	вопрос о	1	2
61	не в	5	2
62	одна из	2	2
63	не имеет	1	2
64	в русском	2	2
65	xix веке	2	2
66	и это	2	2
67	в ее	2	2
68	еще в	1	2
69	и здесь	1	2
70	что и	1	2
71	в том	9	2
72	и ее	1	2
73	в виде	2	2
74	в душе	1	2
75	друг друга	1	2
76	только к	1	2
77	было в	2	2
78	в данном	1	2
79	и дети	2	2
80	она должна	1	2
81	потому что	3	2
82	в частности	2	2
83	русской литературы	1	2
84	я и	3	1
85	также что	1	1
86	и т	3	1
87	например в	2	1
88	в сфере	2	1
89	это значит?	1	1
90	и есть	2	1
91	смысл этого	1	1
92	на две	1	1
93	должна быть	1	1
94	века в	1	1
95	что уже	1	1
96	на милость	1	1
97	не вполне	1	1
98	на себя	1	1
99	начала в	1	1
100	подчеркнуть что	1	1
101	в ней	6	1
102	в xix	2	1
103	литературы и	1	1
104	представляет собой	1	1
105	без которой	1	1
106	во всех	2	1
107	но не	3	1
