N	2gram	Bakhtin_Fr_5	NovoeSre
1	а не	4	17
2	и в	45	16
3	не может	5	16
4	нового времени	1	12
5	и не	15	11
6	и есть	2	10
7	в эпоху	7	9
8	что в	12	9
9	в том	10	8
10	жизни и	8	8
11	он не	6	8
12	в этом	14	7
13	в новой	1	7
14	может быть	2	7
15	не будет	1	7
16	как и	10	7
17	средние века	2	7
18	с его	7	6
19	не в	7	6
20	ни в	3	6
21	общественной жизни	1	6
22	никогда не	1	6
23	лишь в	2	6
24	но это	5	6
25	не знает	1	6
26	должен быть	2	5
27	с ее	5	5
28	в ней	8	5
29	истории в	1	5
30	культуры в	1	5
31	и к	5	5
32	не только	14	5
33	в жизни	1	5
34	xix века	1	5
35	все это	7	5
36	в нем	10	5
37	и общественной	1	5
38	большую роль	1	4
39	о том	4	4
40	и мы	1	4
41	перестает быть	2	4
42	в них	6	4
43	то что	2	4
44	это не	3	4
45	прежде всего	10	4
46	не было	3	4
47	и потому	1	4
48	по своему	4	4
49	не менее	3	4
50	и для	3	4
51	не имеет	3	4
52	и все	7	4
53	потому что	7	4
54	в средние	2	3
55	еще не	1	3
56	во всех	13	3
57	за пределы	1	3
58	в истории	2	3
59	как в	3	3
60	конечно не	2	3
61	к ним	1	3
62	в мире	1	3
63	но и	10	3
64	это было	4	3
65	и пр	1	3
66	с тем	2	3
67	старого мира	1	3
68	в своей	3	3
69	к жизни	1	3
70	эти формы	1	3
71	не существует	1	3
72	в основе	4	3
73	жизни в	2	3
74	в духе	2	3
75	к тому	2	3
76	в наши	1	3
77	сказать что	4	3
78	отдельных людей	1	3
79	и это	4	2
80	же как	4	2
81	более не	1	2
82	связана с	1	2
83	века но	1	2
84	это и	5	2
85	роль в	2	2
86	не имеют	1	2
87	для нового	1	2
88	ведь и	3	2
89	можно было	4	2
90	так и	6	2
91	времени и	1	2
92	к самой	1	2
93	мы не	4	2
94	мира и	8	2
95	и с	10	2
96	для этого	1	2
97	мира а	2	2
98	стремление к	1	2
99	будет уже	1	2
100	но она	3	2
101	вот почему	1	2
102	и что	2	2
103	и на	5	2
104	времени в	1	2
105	и большая	1	2
106	на протяжении	1	2
107	но не	4	2
108	века и	1	2
109	с этим	4	2
110	хотя и	5	2
111	но в	14	2
112	духа в	2	2
113	все эти	5	2
114	себя в	1	2
115	есть в	3	2
116	в себе	1	2
117	права и	3	2
118	старый мир	1	2
119	это связано	1	2
120	у него	4	2
121	что она	3	2
122	в одну	1	2
123	что все	2	2
124	нет и	2	2
125	и даже	4	2
126	и т.п	16	2
127	связаны с	4	2
128	права на	2	2
129	том что	7	2
130	вместе с	3	2
131	так же	8	2
132	мы говорим	1	2
133	мысли и	6	2
134	мир и	3	2
135	обращение к	1	2
136	по существу	3	2
137	не могли	1	2
138	строю жизни	1	2
139	как будто	1	2
140	войны и	2	2
141	и формы	1	2
142	как это	4	2
143	такой же	4	2
144	культура средневековья	1	2
145	в то	11	2
146	одна из	1	2
147	в мировой	1	2
148	того чтобы	6	2
149	жизнью в	2	2
150	формы и	1	2
151	средневековья и	1	2
152	и от	4	2
153	самой жизни	2	2
154	хотя бы	2	2
155	все они	4	2
156	а в	4	2
157	я называю	1	2
158	и начинается	1	2
