N	3gram	Voloshinov_1	Mirosoze
1	не может быть	3	8
2	есть прежде всего	1	5
3	для того чтобы	1	4
4	его отношение к	1	4
5	что иное как	1	3
6	же как и	1	3
7	до сих пор	3	3
8	так же как	2	3
9	в высшей степени	1	3
10	и в этом	2	3
11	это и есть	1	3
12	не что иное	1	3
13	в чем не	3	2
14	как и всегда	1	2
15	подобно тому как	1	2
16	в свою противоположность	1	2
17	так как он	1	2
18	в нем нет	2	2
19	и та же	1	2
20	одна и та	1	2
21	на этом пути	1	2
22	о том что	2	2
23	ни в чем	3	2
24	в том что	1	2
25	мы увидим что	1	2
26	этап в развитии	1	1
27	в нем и	1	1
28	с точки зрения	6	1
29	но к чему	1	1
30	друг на друга	2	1
31	а может быть	1	1
32	в этом отношении	1	1
33	его не интересует	1	1
34	этим не преодолевается	1	1
35	в этой борьбе	1	1
36	со всеми его	1	1
37	находится во власти	1	1
38	в этом нет	1	1
39	человек не может	1	1
40	по сравнению с	3	1
41	и на наших	1	1
42	один из моментов	1	1
43	вопрос можно ли	1	1
44	по ту сторону	4	1
45	в разных местах	1	1
46	на наших глазах	1	1
47	двойственное отношение к	1	1
48	жизни в этом	1	1
49	той или иной	1	1
50	на самом деле	4	1
51	во всех его	2	1
