N	2gram	Voloshinov_1	Literetu
1	а не	5	20
2	и в	12	19
3	может быть	14	17
4	то же	5	12
5	и не	10	11
6	как и	5	10
7	в том	6	10
8	и т.п	1	10
9	но и	3	10
10	в этом	4	9
11	в то	2	9
12	же время	1	9
13	не может	16	9
14	пути в	1	8
15	не только	4	8
16	с другой	4	8
17	слова и	6	7
18	том что	5	7
19	так и	4	7
20	с одной	2	7
21	то что	5	7
22	и на	4	6
23	в себе	3	6
24	при этом	6	6
25	не менее	3	6
26	себя в	1	6
27	одной стороны	2	6
28	столь же	1	5
29	но не	2	5
30	конечном счете	1	5
31	он не	2	5
32	в конечном	1	5
33	в качестве	1	5
34	у нас	1	5
35	то есть	1	5
36	того что	3	5
37	вместе с	2	5
38	я и	1	4
39	но тем	2	4
40	мы не	3	4
41	по отношению	11	4
42	отнюдь не	5	4
43	едва ли	2	4
44	для него	3	4
45	точки зрения	14	4
46	не в	4	4
47	в русской	1	4
48	в области	1	4
49	в ней	6	4
50	в его	2	4
51	прежде всего	8	4
52	в частности	1	4
53	в искусстве	1	4
54	жизни в	1	4
55	другой стороны	2	4
56	жизни и	4	4
57	что в	2	4
58	и то	2	3
59	тем же	1	3
60	и он	1	3
61	во всех	1	3
62	как к	3	3
63	в нем	6	3
64	перестает быть	2	3
65	такой же	2	3
66	с точки	2	3
67	никогда не	5	3
68	ничего не	2	3
69	и его	13	3
70	данном случае	2	3
71	в себя	2	3
72	и с	3	3
73	в другом	1	3
74	в поэзии	3	3
75	так как	9	3
76	себе и	1	3
77	этом отношении	1	3
78	и др	5	3
79	в данном	2	3
80	но это	2	3
81	и для	3	3
82	отношению к	11	3
83	как на	2	3
84	ту же	1	2
85	же как	1	2
86	это прежде	1	2
87	что нам	1	2
88	на себя	1	2
89	с ее	1	2
90	слово не	1	2
91	в истории	1	2
92	в художественном	3	2
93	все же	4	2
94	как уже	2	2
95	и наконец	3	2
96	и к	4	2
97	но в	5	2
98	то в	1	2
99	в целом	1	2
100	в нашем	11	2
101	подобно тому	1	2
102	на этом	1	2
103	не бывает	1	2
104	одно и	2	2
105	и иных	1	2
106	в жизни	5	2
107	но уже	1	2
108	в них	3	2
109	все равно	1	2
110	с этой	2	2
111	как бы	13	2
112	художественного творчества	3	2
113	в такой	3	2
114	и без	1	2
115	не к	3	2
116	что я	1	2
117	по преимуществу	1	2
118	тем не	3	2
119	по крайней	1	2
120	в основе	1	2
121	не вполне	1	2
122	могут быть	2	2
123	даже и	1	2
124	в виду	5	2
125	в ее	1	2
126	это как	3	2
127	еще не	3	2
128	для этого	1	2
129	о том	3	2
130	и что	2	2
131	для нас	7	2
132	русской литературе	1	2
133	и только	1	2
134	крайней мере	1	2
135	было бы	1	2
136	тот же	1	2
137	в какой	2	2
138	друг друга	1	2
139	уже не	4	2
140	уже в	2	2
141	ни было	4	2
142	одно из	1	2
143	не так	2	2
144	ведь это	1	2
145	в одном	1	2
146	что и	2	2
147	вовсе не	1	2
148	у него	1	2
149	себя и	2	2
150	что не	4	2
151	не было	1	2
152	до конца	2	2
153	в руках	1	2
154	него не	1	2
155	как это	2	2
156	тому как	1	2
157	не является	1	2
158	в результате	1	2
159	а к	2	2
160	хотя бы	5	2
161	с ним	3	2
162	не знает	1	2
163	героя в	1	2
164	себе не	1	2
165	к материалу	4	1
166	с жизнью	1	1
167	это и	1	1
168	поэзию не	1	1
169	что слово	2	1
170	отношения между	1	1
171	исходит из	1	1
172	должна быть	5	1
173	из трех	1	1
174	обойтись без	1	1
175	слово было	1	1
176	мы имеем	2	1
177	как мы	1	1
178	что уже	1	1
179	ни единого	1	1
180	он как	1	1
181	общего для	1	1
182	руках у	1	1
183	к общему	1	1
184	бы то	3	1
185	в чем	2	1
186	самом деле	3	1
187	то он	1	1
188	не перестает	1	1
189	сознания не	1	1
190	строит свое	1	1
191	за пределы	4	1
192	относится к	2	1
193	любовной лирики	1	1
194	общего с	2	1
195	как в	5	1
196	стороны и	2	1
197	она как	1	1
198	этой точки	3	1
199	есть в	1	1
200	когда он	3	1
201	иных приемов	1	1
202	и художественного	1	1
203	движение и	1	1
204	в самом	4	1
205	героя и	5	1
206	к художественному	1	1
207	себе как	1	1
208	лежит на	2	1
209	что это	1	1
210	все эти	3	1
211	сказано в	1	1
212	во многих	1	1
213	еще один	1	1
214	и те	2	1
215	двух других	1	1
216	слово это	2	1
217	эти и	2	1
218	в переводе	1	1
219	и вот	1	1
220	и по	3	1
221	обстоит дело	1	1
222	или иных	1	1
223	а эти	1	1
224	таким образом	12	1
225	здесь мы	1	1
226	то ни	3	1
227	входя в	1	1
228	на протяжении	1	1
229	с другими	2	1
230	искусства в	1	1
231	это не	2	1
232	высказывание как	2	1
233	люди не	1	1
234	далеко не	1	1
235	кругозора и	2	1
236	и подобные	2	1
237	в слове	1	1
238	мы видели	1	1
239	его носителя	1	1
240	и было	1	1
241	со всей	1	1
242	как ближайшего	1	1
243	в этих	2	1
244	в своей	3	1
245	он должен	3	1
246	место в	2	1
247	свою художественную	1	1
248	свое высказывание	1	1
249	что до	1	1
250	от его	1	1
251	является в	1	1
252	но эта	1	1
253	обращение к	1	1
254	того кто	1	1
255	случае мы	1	1
256	и вся	1	1
257	выступает здесь	1	1
258	в отношении	2	1
259	и притом	2	1
260	и искусство	1	1
261	имеем дело	1	1
262	этих двух	2	1
263	с этих	1	1
264	по своей	1	1
265	внутренней и	1	1
266	связи с	1	1
267	не нужен	1	1
268	так называемый	1	1
269	именно такой	1	1
270	все то	1	1
271	не могут	1	1
272	и вполне	2	1
273	же самое	2	1
274	к тому	1	1
275	ничего общего	1	1
276	не уверен	1	1
277	и о	1	1
278	того чтобы	1	1
279	свою очередь	1	1
280	здесь не	3	1
281	на основе	1	1
282	в особенности	2	1
283	только то	1	1
284	в пределах	3	1
285	множественного числа	1	1
286	художественное творчество	1	1
287	можно было	1	1
288	это событие	1	1
289	остается только	1	1
290	жизнь и	1	1
291	мы в	2	1
292	в словах	1	1
293	и внешней	1	1
294	нас и	2	1
295	в таком	1	1
296	общения в	1	1
297	их но	1	1
298	быть ни	1	1
299	сводится к	1	1
300	приближается к	1	1
