N	2gram	Berdyaev_M_1	Psycholo
1	то что	5	32
2	и в	28	31
3	в том	6	30
4	то есть	3	26
5	и т	1	26
6	что в	10	23
7	может быть	30	22
8	так как	3	18
9	не может	28	17
10	как и	5	16
11	т п	1	16
12	и не	11	16
13	том что	3	16
14	точки зрения	4	15
15	только в	6	14
16	что и	4	13
17	а не	25	13
18	не только	29	13
19	так же	1	12
20	в этом	20	12
21	мы не	1	12
22	не в	16	11
23	в области	1	11
24	в самом	11	11
25	с таким	1	11
26	могут быть	2	11
27	того что	7	10
28	потому что	16	10
29	самом деле	1	9
30	как в	2	9
31	искусства в	1	9
32	во всяком	1	8
33	все это	6	8
34	вместе с	6	8
35	никогда не	14	8
36	и что	2	8
37	всякий раз	1	8
38	что мы	1	8
39	и его	9	7
40	того чтобы	2	7
41	сказать что	2	7
42	о том	2	7
43	что он	10	7
44	заключается в	1	7
45	вовсе не	1	6
46	а в	4	6
47	что она	1	6
48	и даже	1	6
49	в его	9	6
50	зависимости от	1	6
51	для того	2	6
52	всяком случае	1	6
53	до конца	14	6
54	целый ряд	1	6
55	было бы	10	6
56	если бы	2	6
57	все же	2	5
58	для нас	3	5
59	и для	2	5
60	это есть	3	5
61	время как	2	5
62	был бы	10	5
63	и все	10	5
64	к психологии	1	5
65	так что	1	5
66	в ее	3	5
67	в то	2	5
68	говорит что	1	5
69	в зависимости	1	5
70	оказывается что	2	5
71	мы видим	2	5
72	она не	4	5
73	то время	2	5
74	и есть	14	5
75	как будто	2	5
76	как бы	2	5
77	в которой	6	4
78	в искусстве	1	4
79	все время	1	4
80	прежде всего	10	4
81	в котором	8	4
82	искусство и	1	4
83	в себе	7	4
84	что я	1	4
85	в этих	4	4
86	с этой	4	4
87	между тем	1	4
88	и о	1	4
89	различие между	2	4
90	у нас	5	4
91	к тому	3	4
92	мы увидим	3	4
93	один из	4	4
94	отличие от	1	4
95	мы имеем	1	4
96	у него	17	4
97	в своих	1	4
98	бы тот	1	4
99	и у	2	4
100	психологической точки	1	4
101	к этому	2	4
102	в виду	2	4
103	точек зрения	1	3
104	когда мы	2	3
105	и вот	3	3
106	вопрос о	2	3
