N	3gram	Berdyaev_V_1	Tvorches
1	в том что	2	6
2	по крайней мере	1	2
3	добра и зла	2	2
4	все тот же	2	1
5	не верит что	1	1
6	так ли это?	1	1
7	вот в чем	1	1
8	хотя бы и	1	1
9	не могут быть	1	1
10	бы то ни	1	1
11	за то что	3	1
12	отказаться от свободы	1	1
13	то и другое	1	1
14	вместе с тем	1	1
15	к небытию в	1	1
16	и что в	1	1
17	в конце концов	1	1
18	в известном смысле	1	1
19	для человека и	1	1
20	с другой стороны	1	1
21	не совместима с	1	1
22	к тому что	3	1
23	как и в	1	1
24	и т д	2	1
25	всех на земле	1	1
