N	3gram	Propp_Isto_2	Russkaja
1	друг с другом	1	14
2	в том что	5	7
3	на самом деле	2	6
4	до сих пор	6	5
5	на то что	2	4
6	не может быть	2	4
7	в этом случае	5	3
8	вместе с тем	5	3
9	можно было бы	3	3
10	точно так же	6	2
11	что он не	4	2
12	и вместе с	2	2
13	о том что	2	2
14	друг от друга	1	2
15	в другом случае	1	2
16	и в другом	1	2
17	в другом месте	2	1
18	уже знаем что	2	1
19	мы должны себе	1	1
20	так же и	3	1
21	по отношению к	3	1
22	в этой роли	1	1
23	во всем мире	1	1
24	является не только	1	1
25	мы уже знаем	3	1
26	таит в себе	1	1
27	так как оно	1	1
28	и не только	1	1
29	естественно поэтому что	1	1
30	что он имеет	1	1
31	за то что	1	1
32	и дать ему	1	1
33	к которому принадлежит	1	1
34	несмотря на то	1	1
35	не подлежит никакому	1	1
36	бы показать что	1	1
37	подлежит никакому сомнению	1	1
38	ни к какому	1	1
39	смысле этого слова	1	1
40	должны себе представить	1	1
41	во всех этих	2	1
42	на земле что	1	1
43	в связи с	4	1
44	тем что они	1	1
45	бы привести к	2	1
46	сих пор мы	2	1
47	так же как	4	1
48	потому что они	1	1
49	а в нем	1	1
50	это и есть	1	1
51	так как это	1	1
52	с самого начала	2	1
53	но все же	4	1
54	мог бы привести	1	1
55	чтобы освободиться от	1	1
56	только в этом	1	1
57	тем не менее	1	1
58	и прежде всего	1	1
59	всех этих случаях	2	1
60	к тому же	2	1
61	что он на	1	1
