N	3gram	Medvedev_U_1	FransuaR
1	то же время	3	9
2	в то же	3	9
3	в том что	2	6
4	в этом отношении	2	5
5	но в то	1	5
6	до сих пор	2	3
7	и прежде всего	1	3
8	то же самое	2	2
9	в данном случае	1	2
10	не может быть	4	2
11	можно сказать что	1	2
12	друг с другом	1	2
13	и в различных	1	1
14	этом отношении очень	1	1
15	это то же	1	1
16	в самом деле	2	1
17	и в то	1	1
18	но это не	1	1
19	в значительной мере	1	1
20	и в частности	2	1
21	все это в	1	1
22	надо было сделать	1	1
23	и в этой	2	1
24	является одним из	1	1
25	что в своей	1	1
26	в этой же	1	1
27	в конечном счете	4	1
28	конечно не в	1	1
