N	3gram	Bakhtin_Pr_2	Sotsiolo
1	в том что	1	2
2	в конце концов	2	2
3	по отношению к	5	2
4	историка литературы и	1	1
5	в настоящее время	2	1
6	в сущности есть	1	1
7	в каждом своем	1	1
8	конечно не в	1	1
9	в том и	1	1
10	а между тем	1	1
11	не может не	1	1
12	по крайней мере	1	1
13	то же самое	1	1
14	о том как	1	1
15	сама по себе	4	1
16	часть нашей работы	1	1
17	друг от друга	2	1
18	в то же	5	1
19	это вовсе не	2	1
20	дело конечно не	1	1
21	в связи с	1	1
22	ни на что	1	1
23	все эти вопросы	1	1
24	может развиваться в	1	1
25	то же время	5	1
26	на этот основной	1	1
27	и наконец в	1	1
28	не должна быть	1	1
29	с одной стороны	1	1
30	во всяком случае	1	1
31	мы переходим к	2	1
32	этот основной вопрос	1	1
