N	3gram	Bakhtin_Pr_2	Komedia
1	к тому же	3	10
2	в том что	1	5
3	на этот раз	1	4
4	о том что	1	4
5	по отношению к	5	3
6	в том числе	1	3
7	так или иначе	1	3
8	в связи с	1	3
9	то же время	5	3
10	в то время	2	3
11	в то же	5	3
12	а затем и	2	2
13	в этом смысле	2	2
14	до сих пор	7	2
15	в той же	1	2
16	в отличие от	4	2
17	бы то ни	1	2
18	то время как	2	2
19	что и на	1	2
20	то ни было	1	2
21	с одной стороны	1	2
22	в нем не	1	2
23	то что он	1	2
24	во всяком случае	1	2
25	и т п	9	2
26	берет на себя	1	2
27	после того как	1	2
28	можно было бы	3	2
29	друг с другом	4	2
30	сплошь да рядом	1	1
31	иначе обстоит дело	1	1
32	время как в	1	1
33	и к их	1	1
34	сущности одна и	1	1
35	в самом деле	4	1
36	никак не может	3	1
37	в том же	1	1
38	с точки зрения	8	1
39	и во всех	1	1
40	сих пор не	1	1
41	но и в	1	1
42	и та же	2	1
43	а может быть	1	1
44	что в нем	1	1
45	том числе и	1	1
46	может быть даже	1	1
47	то что у	1	1
48	той или иной	3	1
49	не в его	1	1
50	ни в одном	2	1
51	по существу своему	1	1
52	в сущности одна	1	1
53	само по себе	1	1
54	одна и та	2	1
55	с другой стороны	3	1
56	таким образом и	1	1
57	и в том	1	1
58	вместо того чтобы	1	1
59	не может быть	4	1
60	нельзя сказать о	1	1
61	более или менее	3	1
62	и не удалось	1	1
63	у него в	1	1
64	что он не	1	1
65	так и в	1	1
66	то что не	1	1
67	мы можем сказать	1	1
68	ведь он не	2	1
69	но в этом	1	1
70	но все же	2	1
71	как мы знаем	1	1
72	благоприятные условия для	1	1
73	друг от друга	2	1
74	строить свою речь	1	1
75	в большинстве случаев	8	1
76	в каждом из	1	1
77	тем не менее	2	1
78	не приходит в	1	1
79	в пределах одного	9	1
80	можем сказать что	1	1
81	может быть более	2	1
