N	2gram	Tiupa_Lite_2	Otkroven
1	у него	2	22
2	и в	19	19
3	но и	10	13
4	и не	11	13
5	в этом	9	12
6	человека в	4	11
7	не в	4	11
8	не только	8	11
9	может быть	17	11
10	а не	20	11
11	в нем	3	10
12	и все	1	10
13	прежде всего	4	9
14	к человеку	1	9
15	не было	2	9
16	никогда не	3	9
17	потому что	2	9
18	он был	1	8
19	и он	3	8
20	в его	4	7
21	он не	5	7
22	в глубине	1	7
23	до конца	2	7
24	ни с	1	7
25	нет ничего	1	7
26	но он	1	7
27	от него	1	7
28	как и	10	6
29	в том	10	5
30	в самом	1	5
31	в этой	3	5
32	для него	4	5
33	в россии	2	5
34	в творчестве	1	5
35	него в	1	5
36	а в	3	5
37	то что	7	5
38	он сам	1	4
39	все эти	1	4
40	на земле	1	4
41	что не	2	4
42	не может	9	4
43	того чтобы	1	4
44	есть лишь	1	4
45	и его	3	4
46	что в	4	4
47	только и	1	4
48	различие между	1	3
49	быть может	3	3
50	о том	2	3
51	еще не	2	3
52	во имя	2	3
53	жизни все	1	3
54	было бы	2	3
55	того что	5	3
56	когда он	1	3
57	что он	3	3
58	в себе	6	3
59	и вот	1	3
60	не могут	1	3
61	для того	2	3
62	человеке он	1	3
63	что человек	1	3
64	это не	1	3
65	мысли и	2	3
66	могут быть	2	3
67	как бы	2	3
68	с ним	2	3
69	в русской	4	3
70	и от	1	3
71	в этих	1	3
72	хотя бы	2	3
73	в своих	2	3
74	все что	2	3
75	и с	3	2
76	и то	3	2
77	в ее	2	2
78	мысль о	1	2
79	от самого	1	2
80	так и	7	2
81	его не	1	2
82	и о	1	2
83	и на	6	2
84	художественном творчестве	1	2
85	не все	1	2
86	что и	2	2
87	в истории	2	2
88	же можно	1	2
89	как к	3	2
90	в своем	1	2
91	и нет	2	2
92	все же	2	2
93	и к	2	2
94	в этот	1	2
95	и потому	1	2
96	должен был	1	2
97	так что	4	2
98	уже в	2	2
99	в единстве	1	2
100	с чем	1	2
101	о которой	2	2
102	одно из	2	2
103	же это	1	2
104	ведь это	2	2
105	которую он	1	2
106	так как	3	2
107	тем что	4	2
108	в других	1	2
109	даже и	2	2
110	в другом	3	2
111	его в	1	2
112	человека а	1	2
113	с тем	2	2
114	русского народа	1	2
115	личности и	1	2
116	него не	2	2
117	том что	7	2
118	что есть	1	2
119	в дневнике	1	2
120	к этому	1	2
121	что же	1	2
122	человек всегда	1	2
123	свобода и	1	2
124	своей жизни	1	2
125	не имеет	1	2
126	у кого	1	2
127	и для	3	2
128	ничего не	3	2
129	жизни в	4	2
130	в своей	1	2
131	свободы и	1	2
132	всего в	1	2
133	к этой	2	2
134	ее в	1	2
135	все еще	2	2
136	но в	2	2
137	о судьбе	1	1
138	отношения к	1	1
139	внутренней свободы	2	1
140	можно и	1	1
141	с образом	2	1
142	в виду	2	1
143	с кем	1	1
144	на нем	1	1
145	не могу	2	1
146	на самом	1	1
147	но тем	4	1
148	тем же	3	1
149	и до	2	1
150	жизни ее	1	1
151	должна быть	1	1
152	и когда	1	1
153	можно было	1	1
154	из всех	1	1
155	не с	3	1
156	есть не	1	1
157	и каждый	2	1
158	он знает	1	1
159	мы не	4	1
160	ту же	2	1
161	в первый	2	1
162	в сущности	3	1
163	находится в	1	1
164	не вполне	2	1
165	жизни как	2	1
166	это я	1	1
167	о границах	1	1
168	в ней	4	1
169	и что	2	1
170	и вся-то	1	1
171	дороги и	1	1
172	не стоит	1	1
173	после того	1	1
174	любви к	1	1
175	нет у	1	1
176	самому себе	1	1
177	самом деле	1	1
178	этой и	1	1
179	но не	5	1
180	то он	1	1
181	к творчеству	1	1
182	в новом	1	1
183	себе и	3	1
184	чем и	1	1
185	видят не	1	1
186	все время	1	1
187	и я	1	1
188	придет и	1	1
189	как в	1	1
190	в частности	4	1
191	один из	4	1
192	его собственная	1	1
193	что только	1	1
194	сознания в	3	1
195	и как	3	1
196	самом начале	1	1
197	с душой	1	1
198	от этого	1	1
199	то в	2	1
200	за собой	1	1
201	поэтому он	1	1
202	который в	1	1
203	строй жизни	1	1
204	что это	1	1
205	от бога	1	1
206	представляет собой	2	1
207	за это	1	1
208	есть их	1	1
209	не оставляет	1	1
210	со всеми	1	1
211	в эти	1	1
212	человека с	1	1
213	с какой	1	1
214	путь которым	1	1
215	не таков	1	1
216	уже не	2	1
217	на то	1	1
218	и других	4	1
219	растворяется в	1	1
220	из них	2	1
221	нам все	1	1
222	чего бы	1	1
223	мир в	1	1
224	был бы	2	1
225	он должен	1	1
226	в одном	2	1
227	пути пройденного	1	1
228	путь он	1	1
229	его речь	1	1
230	вовсе не	2	1
231	и сам	2	1
232	этом отношении	3	1
233	вещей и	1	1
234	всеми и	1	1
235	существование в	2	1
236	в каждом	2	1
237	лишь для	1	1
238	ни был	1	1
239	границы и	1	1
240	и даже	8	1
241	со стороны	3	1
242	как у	1	1
243	пути от	2	1
244	в глазах	3	1
245	а именно	3	1
246	лица в	1	1
247	и прежде	1	1
248	связанным с	1	1
249	в жизни	2	1
250	в это	1	1
251	говорит о	1	1
252	в них	2	1
253	свободы от	1	1
254	вл соловьева	1	1
255	она и	1	1
256	а с	1	1
257	стремится к	1	1
258	души он	1	1
259	всю жизнь	1	1
260	к победе	1	1
261	человек в	1	1
262	ведет к	1	1
263	поставлен у	1	1
264	в мире	9	1
265	мира в	2	1
266	он и	2	1
267	мысль его	1	1
268	не так	2	1
269	о людях	1	1
270	художественного творчества	2	1
271	русской литературы	1	1
272	исходит от	1	1
273	и без	2	1
274	как это	2	1
275	в строгом	1	1
276	оказывается что	1	1
277	он говорит	1	1
278	ибо легче	1	1
279	одном из	2	1
280	в поэме	4	1
281	для многих	1	1
282	права на	3	1
283	всегда является	1	1
284	назад не	1	1
285	что было	2	1
286	с тобой	5	1
287	в конце	2	1
288	как от	1	1
289	вокруг которого	2	1
290	и менее	1	1
291	а потому	2	1
292	быть не	2	1
293	лет назад	1	1
294	он придет	1	1
295	для тех	1	1
296	в отношении	1	1
297	но это	3	1
298	того как	1	1
299	одна из	5	1
300	на два	2	1
301	со всей	1	1
302	не по	2	1
303	лишь его	2	1
304	не случайно	4	1
305	из тьмы	1	1
306	есть путь	1	1
307	в пределе	1	1
308	в отношениях	1	1
309	и трагическое	1	1
310	ее и	1	1
311	особого рода	1	1
312	в форму	1	1
313	бы в	1	1
314	еще более	1	1
315	в русском	2	1
316	по своей	1	1
317	ни к	1	1
318	не частное	1	1
319	во всем	1	1
320	в сознании	1	1
321	личной судьбы	1	1
322	отношении к	1	1
323	ты не	1	1
324	перед ним	2	1
325	всего мира	1	1
326	есть у	1	1
327	у нас	5	1
328	и эта	1	1
329	среди них	1	1
330	бытия как	1	1
331	свое собственное	1	1
332	от всех	1	1
333	враг и	2	1
334	к его	1	1
335	жизни а	2	1
336	ко всему	2	1
337	бы кажется	1	1
338	у которых	1	1
339	это конечно	1	1
340	в свое	2	1
341	сила и	2	1
342	и состоит	1	1
343	жизни и	4	1
344	всего что	1	1
345	даже когда	1	1
