N	2gram	Losev_Vlad_2	Tragedij
1	и в	30	18
2	в году	24	9
3	в этом	20	9
4	в бесах	1	9
5	не только	12	8
6	он сам	2	7
7	и с	14	7
8	и на	4	7
9	может быть	7	7
10	как бы	5	7
11	и не	18	7
12	но в	8	6
13	и его	6	6
14	же время	3	6
15	что он	13	6
16	у него	19	6
17	то же	4	5
18	все же	9	5
19	что это	4	5
20	он вдруг	1	5
21	это не	2	5
22	как и	5	5
23	несмотря на	4	5
24	в то	9	5
25	в дальнейшем	5	5
26	так и	5	5
27	это очень	1	5
28	не может	9	5
29	у достоевского	2	5
30	он всегда	1	4
31	я не	4	4
32	еще не	1	4
33	в себе	6	4
34	в целом	4	4
35	в этой	4	4
36	в нем	4	4
37	об этом	6	4
38	том что	12	4
39	что я	3	4
40	и что	5	4
41	но и	8	4
42	x –	1	4
43	я люблю	1	4
44	и даже	10	4
45	прежде всего	6	4
46	так же	4	4
47	но это	4	4
48	все это	5	4
49	что в	12	4
50	и все	7	4
51	то что	20	4
52	и он	4	3
53	своего рода	1	3
54	как в	3	3
55	в своем	8	3
56	и как	3	3
57	все эти	5	3
58	при этом	5	3
59	то есть	7	3
60	должно быть	3	3
61	что с	1	3
62	о чем	6	3
63	своего отца	1	3
64	что вы	2	3
65	и сам	2	3
66	с ним	5	3
67	к нему	2	3
68	в его	11	3
69	уже в	3	3
70	для него	9	3
71	никто не	1	3
72	в конце	13	3
73	как будто	2	3
74	как это	7	3
75	в основном	5	3
76	если б	1	2
77	и до	2	2
78	что эти	2	2
79	и за	1	2
80	а как	1	2
81	из своих	1	2
82	никогда не	7	2
83	и то	5	2
84	он был	6	2
85	не был	2	2
86	с его	4	2
87	отношение к	4	2
88	отличие от	3	2
89	тут же	2	2
90	не просто	1	2
91	так что	5	2
92	и я	5	2
93	как говорит	1	2
94	о жизни	1	2
95	перед нами	1	2
96	с г	1	2
97	в самом	2	2
98	в письмах	1	2
99	бы и	1	2
100	то и	1	2
101	жизнью и	1	2
102	он не	4	2
103	что она	1	2
104	но все	2	2
105	что все	1	2
106	его в	4	2
107	в глазах	1	2
108	отца и	1	2
109	в это	4	2
110	к области	1	2
111	ни в	7	2
112	с тем	2	2
113	сам говорит	1	2
114	не мог	8	2
115	в отличие	3	2
116	но эта	1	2
117	не в	9	2
118	что этот	1	2
119	раз и	2	2
120	но они	1	2
121	не имеет	2	2
122	в русском	2	2
123	не могут	1	2
124	он и	3	2
125	к тому	2	2
126	и это	3	2
127	году в	1	2
128	данном случае	2	2
129	раз он	1	2
130	еще в	2	2
131	как у	2	2
132	а что	2	2
133	ничего не	2	2
134	лицо его	1	2
135	и здесь	1	2
136	о том	4	2
137	что и	3	2
138	в том	18	2
139	и ее	1	2
140	уже не	3	2
141	в виде	3	2
142	в душе	1	2
143	не так	1	2
144	в одном	1	2
145	друг друга	2	2
146	на меня	2	2
147	тем что	1	2
148	чем он	1	2
149	до конца	7	2
150	ничем не	1	2
151	под влиянием	3	2
152	в данном	3	2
153	очень важно	1	2
154	о его	5	2
155	от всего	1	2
156	потому что	9	2
157	личности и	1	2
158	со мной	1	2
159	в частности	2	2
160	по поводу	4	2
161	во сне	2	2
162	в таком	3	2
163	точно так	3	2
164	я и	2	1
165	также что	2	1
166	и т	1	1
167	одним из	1	1
168	например в	1	1
169	обращается в	1	1
170	я его	3	1
171	сам по	2	1
172	а из	1	1
173	и др	1	1
174	необходимо отметить	1	1
175	самом деле	1	1
176	и женщины	1	1
177	и есть	2	1
178	от самого	1	1
179	высшей степени	1	1
180	хлеб и	1	1
181	той же	4	1
182	то для	1	1
183	в вашей	1	1
184	не вполне	2	1
185	ее отцу	1	1
186	очень скоро	1	1
187	ему в	2	1
188	в виду	2	1
189	начала в	1	1
