N	3gram	Bakhtin_fo_2	Problemy
1	к себе самому	3	13
2	то же время	4	10
3	в то же	4	10
4	на самом деле	1	9
5	с самого начала	1	8
6	с самим собою	1	7
7	себе самому и	1	5
8	мы уже говорили	3	5
9	в той или	1	4
10	но в то	1	4
11	на протяжении всего	2	4
12	и прежде всего	3	4
13	той или иной	1	4
14	друг с другом	4	4
15	уже говорили что	1	3
16	одно и то	1	3
17	как бы уже	1	3
18	в конце концов	1	3
19	и то же	1	3
20	отношение к себе	1	3
21	с другой стороны	1	3
22	и в нем	1	3
23	не может быть	1	3
24	сводится к тому	1	2
25	и наконец в	1	2
26	протяжении всего романа	2	2
27	с точки зрения	8	2
28	как и все	1	2
29	и в то	3	2
30	в отличие от	1	2
31	друг на друга	2	2
32	мне все равно	1	2
33	и в этом	3	2
34	или иной форме	1	2
35	и та же	2	2
36	одна и та	2	2
37	все это было	1	2
38	но все же	1	2
39	в большинстве случаев	3	2
40	как мы уже	4	2
41	в том что	3	2
42	себя как бы	1	1
43	все более и	1	1
44	в форме диалога	1	1
45	в чем не	1	1
46	то есть как	1	1
47	на более глубокой	1	1
48	то есть не	1	1
49	а вовсе не	1	1
50	и для самого	1	1
51	и в особенности	3	1
52	более глубокой и	1	1
53	том что он	1	1
54	здесь еще нет	1	1
55	более глубокий и	1	1
56	в том же	4	1
57	в этом случае	2	1
58	сих пор еще	1	1
59	и для других	1	1
60	до сих пор	2	1
61	прямо начинается с	1	1
62	вместе с тем	1	1
63	что он не	1	1
64	а так как	1	1
65	то что в	1	1
66	это вовсе не	1	1
67	рано или поздно	1	1
68	себе самому к	1	1
69	в уста в	1	1
70	он ни был	1	1
71	как для других	1	1
72	он не мог	1	1
73	со всех сторон	1	1
74	здесь еще не	1	1
75	те же явления	1	1
76	и у других	1	1
77	может быть и	2	1
78	из уст в	1	1
79	к тому что	1	1
80	кроме того здесь	1	1
81	и стремится к	1	1
82	о том как	3	1
83	в этом выражении	1	1
84	то время как	1	1
85	для него самого	1	1
86	с такою же	1	1
87	в данном случае	1	1
88	что на самом	1	1
89	то что уже	1	1
90	и все его	1	1
91	конце концов он	1	1
92	и как бы	1	1
93	все больше и	1	1
94	каждый из них	1	1
95	во всех отношениях	1	1
96	имеет громадное значение	1	1
97	прежде всего в	2	1
98	в тот же	1	1
99	уст в уста	1	1
100	потому что они	2	1
101	здесь как бы	1	1
102	в то время	1	1
103	но в конце	1	1
104	как и в	1	1
105	но только в	1	1
106	и вместе с	1	1
107	он как мы	1	1
108	в свою очередь	1	1
109	и того же	1	1
110	рядом с этим	1	1
111	о том что	1	1
112	и пересекаются с	1	1
113	как и во	1	1
114	тех же тонах	1	1
115	более и более	1	1
116	но в этом	1	1
117	ни в чем	1	1
118	можно сказать что	1	1
119	как бы ни	1	1
120	одного и того	1	1
121	бы он ни	1	1
122	друг от друга	2	1
123	как бы в	1	1
124	больше и больше	1	1
125	это как бы	1	1
126	и во всем	1	1
127	как мы видели	1	1
128	себя и других	1	1
129	для того чтобы	7	1
130	что и в	1	1
131	но к этому	1	1
132	то же самое	2	1
133	в этом отношении	2	1
134	и в другом	1	1
