N	2gram	Bakhtin_Fr_1	Sotsiolo
1	все это	9	7
2	в том	16	5
3	в этом	15	5
4	и только	1	3
5	для нас	4	3
6	не только	10	3
7	и в	65	3
8	не в	4	3
9	в его	9	3
10	за пределы	8	2
11	но и	10	2
12	было бы	1	2
13	к которому	1	2
14	исторического развития	2	2
15	только в	7	2
16	далеко не	3	2
17	в результате	1	2
18	в литературоведении	1	2
19	том что	6	2
20	в частности	5	2
21	то что	3	2
22	главным образом	6	2
23	или даже	2	2
24	литературы и	5	2
25	еще не	6	2
26	это и	1	2
27	отношению к	1	2
28	в конце	1	2
29	что в	3	2
30	может быть	6	2
31	как бы	22	2
32	по отношению	1	2
33	то же	1	2
34	не из	1	1
35	друг от	1	1
36	в свои	1	1
37	что все	1	1
38	опираясь на	1	1
39	нашей работы	6	1
40	наконец в	1	1
41	по себе	1	1
42	даже в	3	1
43	в этой	4	1
44	и должны	1	1
45	выходит за	4	1
46	на все	2	1
47	с другой	3	1
48	представляет и	1	1
49	его в	7	1
50	только для	1	1
51	с ним	3	1
52	это не	3	1
53	на этот	2	1
54	именно в	1	1
55	в чем	2	1
56	они ни	1	1
57	характера это	1	1
58	же по	1	1
59	все же	6	1
60	один из	1	1
61	в то	1	1
62	мысли в	1	1
63	и наконец	2	1
64	даже больше	1	1
65	какой же	1	1
66	еще и	5	1
67	и основательно	1	1
68	тем что	1	1
69	и как	1	1
70	в процессе	2	1
71	что он	3	1
72	прежде всего	11	1
73	в них	5	1
74	так и	10	1
75	не было	1	1
76	одной стороны	2	1
77	те же	1	1
78	и не	22	1
79	в любой	1	1
80	это вовсе	1	1
81	на тех	2	1
82	а строго	1	1
83	никогда не	6	1
84	есть метод	1	1
85	мы не	1	1
86	это как	4	1
87	же время	1	1
88	ничего не	3	1
89	переходим к	1	1
90	развития и	1	1
91	все эти	10	1
92	чуть ли	1	1
93	целом все	1	1
94	как и	5	1
95	бы в	1	1
96	без этого	1	1
97	в настоящее	1	1
98	первый план	1	1
99	остается в	1	1
100	в таких	2	1
101	в сущности	16	1
102	в труде	1	1
103	образом в	2	1
104	конечно не	1	1
105	в связи	1	1
106	на первый	1	1
107	и его	10	1
108	в этих	2	1
109	место в	1	1
110	литературного развития	2	1
111	связи с	4	1
112	от друга	1	1
113	хотя бы	1	1
114	в целом	2	1
115	монументальный труд	1	1
116	не может	3	1
117	в своей	5	1
118	работы в	1	1
119	еще недостаточно	1	1
120	реализма и	2	1
121	о том	2	1
122	развиваться в	1	1
123	в области	7	1
124	и потому	10	1
125	же это	1	1
126	настоящее время	1	1
127	но именно	1	1
128	между ними	4	1
129	из тех	2	1
130	литературе и	2	1
131	на что	2	1
132	единства и	1	1
133	все то	1	1
134	время в	2	1
135	всяком случае	1	1
136	собой не	1	1
137	мы понимаем	1	1
138	он говорит	1	1
139	в область	1	1
140	ни на	2	1
141	должно было	1	1
142	систему его	1	1
143	вовсе не	18	1
144	новое и	2	1
145	ни были	1	1
146	ли не	1	1
147	жизни он	1	1
148	на отдельные	2	1
149	с одной	2	1
150	что без	1	1
151	а между	1	1
152	далеки от	1	1
153	в заключение	2	1
154	литературе о	1	1
155	но не	2	1
156	художественный стиль	1	1
157	у него	1	1
158	очень далеки	1	1
159	между тем	5	1
160	но как	3	1
161	два типа	1	1
162	и по	2	1
163	что на	1	1
164	и остаются	1	1
165	это по	1	1
166	и более	1	1
167	во всяком	1	1
168	бы они	1	1
169	они не	1	1
