N	3gram	Potebnia_M_2	Komedia
1	до сих пор	4	9
2	в том что	7	9
3	для того чтобы	2	6
4	в свою очередь	6	6
5	в то же	2	4
6	о том что	1	4
7	то же время	2	4
8	с самого начала	2	4
9	если бы он	1	3
10	о том как	1	3
11	и т п	3	3
12	вместе с тем	1	3
13	в связи с	1	3
14	во всяком случае	7	3
15	до тех пор	1	3
16	и в самом	1	3
17	с одной стороны	3	3
18	тем не менее	5	3
19	состоит в том	1	2
20	в этом случае	1	2
21	по сравнению с	1	2
22	бы то ни	1	2
23	только для того	1	2
24	то время как	3	2
25	то ни было	1	2
26	с другой стороны	2	2
27	в то время	4	2
28	но все же	1	2
29	что и в	1	2
30	тем же словом	1	1
31	не в состоянии	4	1
32	что происходит с	1	1
33	что ни одно	1	1
34	и для самого	1	1
35	более или менее	8	1
36	подобно тому как	4	1
37	во-вторых потому что	1	1
38	одной стороны и	1	1
39	человек под влиянием	2	1
40	ни одно из	1	1
41	бы при этом	1	1
42	в отличие от	1	1
43	по тому же	1	1
44	так что к	1	1
45	что в некоторых	1	1
46	и не может	1	1
47	на то что	3	1
48	том что его	1	1
49	может быть только	1	1
50	с этой точки	1	1
51	по крайней мере	5	1
52	не менее и	1	1
53	на мой взгляд	1	1
54	что мы не	1	1
55	но еще больше	1	1
56	в том чтобы	1	1
57	один из них	1	1
58	себе отчет в	1	1
59	только один из	1	1
60	имеет ничего общего	1	1
61	в некоторых случаях	2	1
62	это не так	1	1
63	то что он	1	1
64	из них не	1	1
65	не совсем в	1	1
66	но столь же	1	1
67	и в свою	4	1
68	так и в	2	1
69	что и для	1	1
70	ничего общего с	1	1
71	что у него	1	1
72	ответ может быть	1	1
73	вопрос о том	1	1
74	не менее в	1	1
75	тому что она	1	1
76	если бы не	1	1
77	после того как	2	1
78	друг от друга	1	1
79	и в этом	1	1
80	можно принять за	1	1
81	то это опять	1	1
82	не имеет ничего	1	1
83	и т д	3	1
