N	2gram	Losev_Vesc_1	ViktorSh
1	конце концов	2	2
2	и в	21	2
3	том что	8	2
4	в том	8	2
5	в конце	2	2
6	ничуть не	1	1
7	и только	3	1
8	крайней мере	4	1
9	все дело	1	1
10	в другом	2	1
11	хотя бы	6	1
12	и не	29	1
13	все время	1	1
14	и его	2	1
15	потому что	16	1
16	я не	4	1
17	даже не	7	1
18	сводится к	2	1
19	не хочу	1	1
20	и то	10	1
21	самом деле	4	1
22	все это	5	1
23	совершенно ясно	2	1
24	от других	1	1
25	по поводу	1	1
26	именно в	1	1
27	главным образом	1	1
28	вещь и	14	1
29	чего не	2	1
30	как же	3	1
31	дело в	4	1
32	достаточно но	1	1
33	с большой	1	1
34	в частности	1	1
35	так в	1	1
36	одно и	5	1
37	все то	1	1
38	в самом	9	1
39	я занимаюсь	2	1
40	только в	14	1
41	то же	6	1
42	ясно что	8	1
43	так как	7	1
44	далеко не	1	1
45	и составляет	1	1
46	бы уже	1	1
47	к чему	1	1
48	другое дело	1	1
49	но это	10	1
50	в этом	4	1
51	одном и	1	1
52	да и	3	1
53	имеется в	1	1
54	по крайней	4	1
55	а только	3	1
56	по существу	2	1
57	к этому	1	1
58	гораздо более	1	1
