N	3gram	Nazirov_Vr_1	Vladivir
1	в том что	2	9
2	в связи с	3	8
3	во всяком случае	1	6
4	в то время	1	6
5	тем не менее	1	6
6	и то что	1	5
7	в эти годы	2	4
8	в письме к	2	4
9	по крайней мере	1	4
10	в это время	1	4
11	того же года	1	4
12	с точки зрения	2	3
13	в то же	4	3
14	точно так же	1	3
15	на этот раз	1	3
16	в конце концов	1	3
17	у него в	1	3
18	то же время	4	3
19	о том что	1	3
20	м м стасюлевичу	1	2
21	вышла в году	1	2
22	в июле года	1	2
23	между прочим и	1	2
24	на то что	1	2
25	в том же	1	2
26	на первый план	1	2
27	с н трубецкой	1	2
28	эти годы он	1	2
29	или по крайней	1	2
30	в свою очередь	1	2
31	заключается в том	1	2
32	в вестнике европы	4	2
33	и все же	5	2
34	и в ней	1	1
35	да и в	1	1
36	года в париже	1	1
37	в году когда	1	1
38	в марте года	1	1
39	равно как и	1	1
40	вот в чем	1	1
41	он не только	2	1
42	до сих пор	1	1
43	и в то	1	1
44	а также в	1	1
45	года он пишет	1	1
46	не было бы	1	1
47	в этом отношении	1	1
48	что в нем	1	1
49	никто из них	1	1
50	только при помощи	1	1
51	кто верит в	1	1
52	может быть и	1	1
53	что это за	1	1
54	но в то	2	1
55	в январе года	3	1
56	в ноябре года	2	1
57	в высшей степени	1	1
58	и никому не	1	1
59	в году в	2	1
60	его отношение к	1	1
61	не только как	1	1
62	вестнике европы №	2	1
63	влюбился в него	1	1
64	и в котором	1	1
65	не может быть	2	1
66	в мае года	2	1
67	в письмах и	1	1
68	далеко не все	1	1
69	в бесах мы	1	1
70	то что я	1	1
71	в той же	1	1
72	все равно не	1	1
73	в петербурге и	1	1
74	имел в виду	3	1
75	что в этой	1	1
76	связи с этим	1	1
77	не забудем что	1	1
78	к нему с	1	1
79	в этом смысле	1	1
80	но это не	1	1
81	в этот период	1	1
82	и и с	1	1
