N	3gram	Bakhtin_Fr_3	Dialekti
1	с точки зрения	1	9
2	в том что	1	9
3	что иное как	1	8
4	не что иное	1	8
5	не может быть	2	6
6	то же время	6	6
7	в то же	6	6
8	есть не что	1	5
9	для того чтобы	3	5
10	само по себе	1	4
11	это и есть	1	4
12	подобно тому как	1	4
13	имеется в виду	1	3
14	и той же	2	3
15	ничего не говорят	1	3
16	одной и той	2	3
17	и в этом	1	3
18	но только не	1	2
19	о том как	1	2
20	как и все	3	2
21	хотя бы и	1	2
22	в собственном смысле	1	2
23	но в то	4	2
24	по сравнению с	2	2
25	вовсе не в	1	2
26	если вы не	1	2
27	в свою очередь	1	2
28	отношения к этому	1	2
29	и в частности	1	2
30	мы видим что	1	2
31	в виду и	1	1
32	но это есть	1	1
33	прежде всего в	1	1
34	дело в том	1	1
35	мы не могли	1	1
36	в частности и	1	1
37	может быть только	1	1
38	вполне понятно что	1	1
39	на первый план	1	1
40	имеет в виду	2	1
41	в той же	4	1
42	в отличие от	3	1
43	можно сказать что	2	1
44	но для этого	1	1
45	в свете этого	1	1
46	в основе своей	1	1
47	почти все они	1	1
48	к жизни и	1	1
49	некоторые из них	1	1
50	все что было	1	1
51	не говорят о	1	1
52	в данном случае	2	1
53	да и сама	1	1
54	таящая в себе	1	1
55	рождение и смерть	1	1
56	и в сущности	1	1
57	в сущности только	3	1
58	вот как он	1	1
59	в связи с	4	1
60	с одной из	1	1
61	в этом случае	1	1
62	связи с этим	1	1
63	о том что	2	1
64	не имеет никакой	1	1
65	и вместе с	1	1
66	но ведь и	1	1
67	но никак не	1	1
68	и не может	1	1
69	и прежде всего	3	1
70	но все же	1	1
71	включает в себя	1	1
72	с другой стороны	1	1
73	в последней главе	1	1
74	это как бы	1	1
75	только к этому	1	1
76	тех или иных	1	1
77	но также и	1	1
78	может быть в	2	1
79	той или иной	2	1
80	и в области	1	1
81	истории и в	1	1
