N	2gram	Tiupa_Narr_1	KFilosof
1	может быть	25	43
2	в его	9	39
3	в нем	4	31
4	не может	10	27
5	и не	20	26
6	по отношению	7	25
7	и в	19	22
8	в себе	8	21
9	в котором	1	21
10	отношению к	6	21
11	не есть	3	19
12	и его	5	17
13	в ее	3	17
14	а не	12	17
15	только в	4	16
16	в этом	17	13
17	точки зрения	10	13
18	но не	5	12
19	ни в	3	12
20	для него	2	12
21	все эти	2	11
22	не в	14	11
23	соотнесении с	1	11
24	к нему	5	11
25	во всех	1	10
26	в едином	1	10
27	в своем	2	10
28	это не	2	10
29	с точки	2	10
30	и есть	1	9
31	в их	1	9
32	в целом	1	9
33	бытия и	1	9
34	но и	23	9
35	как бы	4	9
36	и для	2	9
37	и все	2	9
38	лишь в	1	8
39	было бы	4	8
40	мир в	1	8
41	если бы	1	8
42	со стороны	9	8
43	не было	2	8
44	жизни и	3	8
45	то что	11	7
46	в себя	6	7
47	и здесь	1	7
48	что и	1	7
49	себя в	5	7
50	вовсе не	1	7
51	быть только	1	7
52	отношение к	2	6
53	отнюдь не	5	6
54	мира в	5	6
55	он не	3	6
56	мир как	1	6
57	в мире	9	6
58	этот момент	1	6
59	и только	2	6
60	совершенно не	2	6
61	уже не	5	6
62	отвлечении от	2	6
63	но это	1	6
64	в смысле	1	6
65	в том	18	6
66	в отвлечении	2	5
67	мы имеем	2	5
68	жизни как	3	5
69	но как	2	5
70	все же	7	5
71	но в	6	5
72	не только	32	5
73	то же	4	5
74	но все	4	5
75	его в	2	5
76	как и	7	5
77	от его	1	5
78	не имеет	2	5
79	никогда не	3	5
80	бытия как	1	5
81	для себя	1	5
82	с ним	1	5
83	именно в	6	5
84	бытия в	3	5
85	его как	2	5
86	событие в	2	5
87	в основе	5	5
88	в ценностном	1	5
89	хотя бы	4	5
90	жизни в	3	5
91	не знает	1	5
92	в чем	1	4
93	это мир	1	4
94	мира но	1	4
95	при этом	9	4
96	не как	2	4
97	здесь мы	1	4
98	бы быть	3	4
99	входит в	1	4
100	место в	1	4
101	тем самым	6	4
102	не по	1	4
103	о нем	4	4
104	с ними	1	4
105	и т.д	7	4
106	ценностного центра	2	4
107	времени и	7	4
108	мира и	2	4
109	между тем	3	4
110	во всей	2	4
111	ни было	3	4
112	вне ее	1	4
113	поскольку мы	1	4
114	том что	14	4
115	для нас	1	4
116	отношению ко	1	4
117	а в	11	4
118	что в	3	4
119	самом деле	2	3
120	на самом	1	3
121	из его	1	3
122	должна быть	2	3
123	мы не	1	3
124	что это	3	3
125	в ней	3	3
126	еще не	7	3
127	и на	3	3
128	события в	2	3
129	нет и	2	3
130	в акте	1	3
131	независимо от	2	3
132	данный момент	1	3
133	бы не	2	3
134	и совершенно	1	3
135	в другом	1	3
136	этом смысле	1	3
137	что этот	1	3
138	не менее	3	3
139	в единство	1	3
140	где он	1	3
141	ничего не	2	3
142	и делает	1	3
143	в некотором	1	3
144	могут быть	3	3
145	здесь не	4	3
146	с человеком	2	3
147	в виду	1	3
148	нему в	1	3
149	о том	6	3
150	не имеем	1	3
151	того или	2	3
152	того что	1	3
153	в современной	1	3
154	быть и	1	3
155	а лишь	1	3
156	и тем	4	3
157	в конкретной	1	3
158	всем его	1	3
159	не дает	1	3
160	и должна	1	3
161	как событие	3	3
162	тем что	3	3
163	от того	1	3
164	в данный	1	3
165	что не	4	3
166	и пр	1	3
167	к единому	1	3
168	по своему	1	3
169	от него	1	3
170	не должен	1	3
171	не быть	1	3
172	в свою	3	3
173	или иного	2	3
174	в то	3	3
175	и то	1	2
176	он может	1	2
177	это и	3	2
178	чего не	1	2
179	едва ли	1	2
180	а как	1	2
181	ему в	2	2
182	имеют место	2	2
183	с его	6	2
184	совсем не	1	2
185	в данном	5	2
186	свою жизнь	1	2
187	или иное	2	2
188	один и	1	2
189	как в	7	2
190	как к	2	2
191	то или	3	2
192	сознания в	1	2
193	и как	5	2
194	от этого	1	2
195	та же	2	2
196	ни одна	1	2
197	в этой	5	2
198	и тот	2	2
199	всей его	2	2
200	человек не	1	2
201	в принципе	4	2
202	ни был	1	2
203	так и	9	2
204	то ни	3	2
205	не будет	3	2
206	и может	1	2
207	а по	2	2
208	он ни	1	2
209	из нее	1	2
210	соответствии с	1	2
211	жизни но	2	2
212	и того	1	2
213	есть его	1	2
214	тем не	3	2
215	по себе	5	2
216	она могла	1	2
217	дело не	1	2
218	дело в	1	2
219	в процессе	1	2
220	вытекает из	1	2
221	же время	4	2
222	героя это	1	2
223	в области	2	2
224	к себе	5	2
225	вокруг него	2	2
226	бы он	1	2
227	той или	4	2
228	оно не	2	2
229	чтобы стать	2	2
230	события так	1	2
231	всей своей	2	2
232	говорить о	2	2
