N	2gram	Medvedev_F_3	Problema
1	в его	7	43
2	и не	30	42
3	и в	27	38
4	эстетический объект	1	37
5	познания и	2	30
6	не может	24	27
7	может быть	25	26
8	как бы	8	22
9	по отношению	3	21
10	в художественном	5	20
11	отнюдь не	8	19
12	отношению к	3	19
13	и с	3	17
14	и его	19	16
15	в этом	18	15
16	в нем	15	15
17	и т	11	14
18	только в	8	13
19	т п	5	13
20	прежде всего	4	13
21	независимо от	5	13
22	но не	5	12
23	за пределы	2	12
24	художественного творчества	2	12
25	в единстве	5	12
26	в искусстве	7	12
27	к материалу	3	11
28	художественного произведения	7	11
29	во всех	3	11
30	в области	2	11
31	ни в	8	11
32	и для	6	11
33	не входит	1	10
34	таким образом	18	10
35	в их	1	10
36	материала в	5	10
37	не только	9	9
38	в поэзии	3	9
39	поступка и	1	9
40	его в	7	9
41	но и	10	9
42	и как	4	8
43	лингвистической определенности	1	8
44	входит в	8	8
45	было бы	6	8
46	точки зрения	16	8
47	место в	10	8
48	произведения как	6	8
49	в том	7	8
50	и др	2	8
51	художественное произведение	11	8
52	то что	8	8
53	еще не	6	7
54	в самом	11	7
55	вообще не	2	7
56	как и	14	7
57	не в	12	7
58	как мы	8	7
59	художественное творчество	1	7
60	с другой	6	7
61	как форма	1	7
62	между тем	7	7
63	слова в	1	7
64	с помощью	8	7
65	но отнюдь	1	7
66	совершенно не	7	7
67	в своей	6	7
68	что в	8	7
69	отношения к	2	6
70	самом деле	16	6
71	на основе	1	6
72	этический момент	1	6
73	там где	7	6
74	в пределах	8	6
75	не к	1	6
76	с точки	14	6
77	не есть	4	6
78	и этим	1	6
79	можно только	2	6
80	ничего не	2	6
81	дело с	3	6
82	содержания и	4	6
83	мы можем	4	6
84	произведение в	4	6
85	все же	6	6
86	вне искусства	3	6
87	а в	1	6
88	художественном произведении	3	5
89	высшей степени	2	5
90	объект в	1	5
91	тем как	1	5
92	отличие от	2	5
93	в своем	2	5
94	все эти	6	5
95	к единству	1	5
96	при этом	8	5
97	то же	15	5
98	это не	3	5
99	в них	3	5
100	в высшей	2	5
101	в отличие	2	5
102	творчества и	3	5
103	так и	21	5
104	произведения в	6	5
105	форму в	1	5
106	его целом	1	5
107	в основе	3	5
108	и о	1	5
109	никогда не	5	5
110	с ним	1	5
111	может иметь	2	5
112	конечно не	4	5
113	большинстве случаев	5	5
114	дело и	1	5
115	в большинстве	4	5
116	не на	3	5
117	а не	17	5
118	могут быть	4	5
119	быть только	2	5
120	должно быть	1	5
121	формы и	3	5
122	все они	1	5
123	имеет место	3	5
124	на самом	14	4
125	должна быть	3	4
126	содержания в	1	4
127	в виду	3	4
128	в ней	5	4
129	но конечно	1	4
130	не входят	1	4
131	как в	4	4
132	но в	6	4
133	в нашем	1	4
134	в себе	3	4
135	перестает быть	2	4
136	понять его	1	4
137	произведение как	6	4
138	в данном	6	4
139	с миром	1	4
140	не должна	1	4
141	не менее	7	4
142	тем самым	1	4
143	в то	7	4
144	чтобы стать	1	4
145	значение материала	1	4
146	известной степени	2	4
147	здесь не	2	4
148	в ее	4	4
149	данном случае	4	4
150	в произведении	3	4
151	можно было	1	4
152	не с	1	4
