N	2gram	Propp_Russ_1	BTomashe
1	у нас	8	3
2	и не	6	2
3	все это	6	2
4	в ней	2	2
5	видеть в	1	2
6	можно было	1	2
7	же не	2	1
8	говорить о	1	1
9	будто бы	6	1
10	об этом	9	1
11	и в	36	1
12	не вполне	1	1
13	и о	1	1
14	к ней	2	1
15	что все	1	1
16	значение слова	1	1
17	на самом	2	1
18	на которой	1	1
19	как будто	5	1
20	было бы	1	1
21	все же	5	1
22	всяком случае	1	1
23	кроме того	1	1
24	никак не	1	1
25	между ними	1	1
26	еще не	4	1
27	и на	10	1
28	в пределах	1	1
29	по меньшей	1	1
30	еще лучше	1	1
31	должна быть	1	1
32	нет но	1	1
33	для которой	1	1
34	в данном	1	1
35	и во	1	1
36	так и	7	1
37	заставляет думать	1	1
38	не было	2	1
39	из своей	1	1
40	далеко не	3	1
41	не о	1	1
42	до конца	2	1
43	а не	2	1
44	что в	19	1
45	в области	3	1
46	меньшей мере	1	1
47	также не	1	1
48	говорить об	1	1
49	и ее	1	1
50	не все	1	1
51	отнюдь не	2	1
52	таким образом	6	1
53	вопрос о	1	1
54	и более	2	1
55	и потому	2	1
56	не только	22	1
57	нас еще	1	1
58	во всяком	1	1
