N	3gram	Berdyaev_N_1	Problema
1	не может быть	4	11
2	в отличие от	1	5
3	в высшей степени	6	5
4	в большинстве случаев	1	5
5	с другой стороны	2	4
6	в этом смысле	2	3
7	можно было бы	1	3
8	может быть только	1	3
9	с одной стороны	2	3
10	в том что	1	3
11	со всех сторон	3	2
12	но и в	1	2
13	ни в чем	1	2
14	и во всех	1	2
15	и не может	1	2
16	другой же стороны	1	2
17	не только в	1	2
18	не могут быть	1	2
19	не может осуществить	1	2
20	с другой же	1	2
21	бытия в этом	1	1
22	а не с	1	1
23	подобно тому как	3	1
24	и пр в	1	1
25	в том и	2	1
26	до сих пор	1	1
27	сами по себе	1	1
28	и не менее	1	1
29	что вся культура	1	1
30	и не в	1	1
31	конечно не в	1	1
32	в значительной степени	1	1
33	то время как	1	1
34	и должно быть	2	1
35	которая обращена к	1	1
36	не в том	1	1
37	в нем не	1	1
38	в том смысле	1	1
39	ни в одну	1	1
40	с миром а	1	1
41	лицом к лицу	3	1
42	одна из сторон	1	1
43	познания и не	1	1
44	в свои права	2	1
45	должен прежде всего	1	1
46	то что в	1	1
47	должен быть признан	1	1
48	в нем нет	2	1
49	равно как и	2	1
50	в то время	1	1
51	это и есть	1	1
52	та или иная	1	1
53	может осуществить своих	1	1
54	вопрос о том	2	1
55	выходит за пределы	1	1
56	которые могут быть	1	1
57	быть отнесены к	1	1
58	и быть не	1	1
59	быть понята как	1	1
60	к вопросу о	1	1
61	и не ставит	1	1
62	быть не может	1	1
63	должна быть понята	1	1
64	она не может	2	1
65	как и в	1	1
66	формы к содержанию	1	1
67	и у в	1	1
68	все свои возможности	1	1
