N	4gram	Potebnia_M_1	Problema
1	не говоря уже о	1	4
2	или по крайней мере	1	3
3	с одной стороны и	1	3
4	не что иное как	2	3
5	уже с самого начала	2	2
6	сама по себе и	1	2
7	во всяком случае не	1	2
8	заключается в том что	1	2
9	одной и той же	3	2
10	с такой точки зрения	1	1
11	но тем не менее	3	1
12	уже о том что	1	1
13	что бы то ни	1	1
14	говоря уже о том	1	1
15	хотя бы даже и	1	1
16	мы в то же	1	1
17	тем не менее он	1	1
18	бы то ни было	1	1
19	тем не менее в	1	1
20	то есть только в	1	1
21	все более и более	2	1
22	то ни стало свести	1	1
23	во что бы то	1	1
24	бы то ни стало	1	1
