N	4gram	Tiupa_Anal_1	Marksizm
1	в то же время	6	8
2	но в то же	2	5
3	одного и того же	2	4
4	бы то ни было	3	4
5	в той или иной	3	3
6	на самом же деле	1	3
7	одно и то же	1	3
8	какой бы то ни	2	2
9	в собственном смысле слова	1	2
10	в том что он	2	2
11	ни в коем случае	2	2
12	так как если бы	1	2
13	в таком случае это	1	2
14	той или иной форме	1	1
15	не может быть ничего	1	1
16	в свою очередь оказывает	1	1
17	в том числе и	1	1
18	не сами по себе	1	1
19	в коем случае не	2	1
20	в самом деле как	1	1
21	речь идет об одном	1	1
22	не что иное как	4	1
23	и не может быть	4	1
24	не сам по себе	1	1
25	может быть сведена к	1	1
26	не может быть сведена	1	1
27	с той или иной	1	1
28	то же время они	1	1
29	бы оно ни было	1	1
30	не говоря уже о	1	1
