N	3gram	Propp_Isto_6	Vladivir
1	в том что	5	10
2	тем не менее	1	9
3	о том что	4	8
4	вместе с тем	3	6
5	а также и	1	6
6	не может быть	3	6
7	это значит что	1	6
8	более или менее	1	5
9	то это значит	1	4
10	точно так же	2	4
11	и то что	1	4
12	у него в	1	4
13	в то время	3	4
14	том что в	2	3
15	во всяком случае	2	3
16	с одной стороны	7	3
17	как мы видели	2	3
18	что и в	2	3
19	одной стороны и	1	2
20	для тех кто	1	2
21	на первый план	2	2
22	еще и сейчас	1	2
23	в таком случае	1	2
24	независимо от того	1	2
25	а с другой	1	2
26	так же как	1	2
27	в данном случае	3	2
28	то время как	3	2
29	так или иначе	1	2
30	с другой стороны	8	2
31	и в том	1	2
32	и вместе с	1	2
33	на то что	1	2
34	в сравнении с	1	2
35	однако и в	1	1
36	таким образом если	1	1
37	что иное как	1	1
38	потому что он	2	1
39	несмотря на все	1	1
40	уже знаем что	2	1
41	не столько о	1	1
42	это то что	1	1
43	так как в	1	1
44	том что он	1	1
45	о том как	3	1
46	в этом случае	6	1
47	же как и	1	1
48	все же можно	2	1
49	до сих пор	4	1
50	более высокой ступени	1	1
51	же можно наблюдать	1	1
52	тут же мы	1	1
53	и то и	1	1
54	мы не будем	2	1
55	у него речь	1	1
56	не так просто	1	1
57	сих пор не	1	1
58	только то что	2	1
59	с тем что	1	1
60	что в нем	2	1
61	можно было бы	2	1
62	отличается тем что	1	1
63	в ней нет	2	1
64	с этой точки	1	1
65	то и другое	1	1
66	одно и то	1	1
67	и тем не	1	1
68	не могло быть	2	1
69	или как говорит	1	1
70	не только в	4	1
71	говорит это не	1	1
72	и то же	1	1
73	такой же как	2	1
74	все же не	1	1
75	но вместе с	1	1
76	то что все	1	1
77	в связи со	1	1
78	если они не	1	1
79	в последнем случае	1	1
80	мы уже видели	3	1
81	этой точки зрения	1	1
82	в более ранних	2	1
83	все того же	1	1
84	но и то	1	1
85	надо сказать что	1	1
86	как это делают	2	1
87	не было ни	1	1
88	другой стороны оно	1	1
89	в том числе	1	1
90	в том смысле	1	1
91	не что иное	1	1
92	не только то	1	1
93	как и вся	1	1
94	мы уже знаем	2	1
95	тем что в	1	1
96	для того чтобы	1	1
97	в себе не	1	1
98	и не могло	1	1
99	мы только что	1	1
100	есть вместе с	1	1
