1	у нас	2	3
2	все это	2	2
3	видеть в	2	2
4	в ней	1	2
5	ее задач	1	2
6	и не	9	2
7	и в	26	1
8	все же	9	1
9	только одной	1	1
10	должна быть	2	1
11	не только	15	1
12	таким образом	10	1
13	об этом	7	1
14	в данном	3	1
15	а не	6	1
16	было бы	2	1
17	и более	3	1
18	не следует	1	1
19	прежде всего	1	1
20	более что	1	1
21	его функцией	1	1
22	и во	2	1
23	в пределах	1	1
24	и на	2	1
25	так и	10	1
26	к ней	1	1
27	между ними	3	1
28	одной из	1	1
29	не вполне	1	1
30	на которой	2	1
31	как будто	1	1
32	еще не	6	1
33	не было	1	1
34	изучение и	1	1
35	с другой	4	1
36	в своей	4	1
37	стоит на	2	1
38	имеющихся в	1	1
39	короче говоря	1	1
40	можно в	1	1
41	будто бы	1	1
42	тем более	1	1
43	вопрос о	4	1
44	в области	2	1
45	не все	1	1
46	в эпоху	1	1
47	что в	14	1
48	другой стороны	4	1
