N	3gram	Vygotskiy__2	Sotsiolo
1	в том что	21	2
2	дело не в	1	2
3	но ведь это	1	2
4	не в том	1	2
5	по отношению к	5	2
6	и мы не	1	1
7	в том и	1	1
8	отношению к которому	1	1
9	по существу дела	2	1
10	не может не	1	1
11	только то что	1	1
12	то что в	1	1
13	то же самое	2	1
14	о том как	1	1
15	сама по себе	2	1
16	в конечном счете	4	1
17	благодаря тому что	1	1
18	друг от друга	2	1
19	что в них	1	1
20	а с другой	4	1
21	что все это	1	1
22	по существу это	1	1
23	в связи с	6	1
24	на первый план	1	1
25	с одной стороны	7	1
26	том и заключается	1	1
27	во всяком случае	6	1
28	ведь это же	1	1
29	тотчас же по	1	1
