N	2gram	Kanaev_Sov_1	Poddanst
1	не только	4	17
2	и в	7	14
3	и не	6	12
4	в области	3	11
5	в этом	7	10
6	но в	3	9
7	то же	3	9
8	в том	4	9
9	только в	1	7
10	в то	1	7
11	же время	1	7
12	в о	1	7
13	в ней	1	6
14	xix века	1	6
15	было бы	3	6
16	с другой	1	5
17	может быть	12	5
18	и пр	2	5
19	не в	3	5
20	если бы	1	4
21	в своем	1	4
22	и к	3	4
23	как бы	4	4
24	и если	1	4
25	том что	1	4
26	не может	17	4
27	и потому	3	4
28	по себе	1	4
29	что в	2	4
30	мы должны	4	4
31	же в	1	4
32	а в	4	4
33	мы не	9	3
34	это не	4	3
35	хотя и	1	3
36	тот же	2	3
37	с одной	2	3
38	в себе	3	3
39	в нем	3	3
40	сами по	1	3
41	прежде всего	5	3
42	одной стороны	1	3
43	с точки	5	3
44	но не	1	3
45	могут быть	2	3
46	точки зрения	12	3
47	и это	1	2
48	и есть	2	2
49	в мире	1	2
50	есть не	1	2
51	осуществляется в	1	2
52	к началу	1	2
53	во всех	1	2
54	в которую	2	2
55	говорить о	2	2
56	если в	1	2
57	во всей	1	2
58	отнюдь не	3	2
59	с этим	2	2
60	стороны и	1	2
61	к чему	2	2
62	в начале	1	2
63	в его	2	2
64	из них	4	2
65	в виде	2	2
66	может ли	1	2
67	именно в	1	2
68	и мы	3	2
69	для них	1	2
70	не было	1	2
71	а не	3	2
72	должно быть	1	2
73	в эту	1	2
74	образом на	1	2
75	не будем	2	2
76	не менее	2	2
77	все это	3	2
78	одна из	3	2
79	еще более	2	2
80	для нас	3	2
81	заключает в	1	2
82	его строить	1	1
83	же как	1	1
84	с другом	2	1
85	как известно	2	1
86	тем же	2	1
87	мире можно	1	1
88	по преимуществу	1	1
89	на две	3	1
90	поскольку она	1	1
91	те же	1	1
92	в и	2	1
93	и само	1	1
94	еще в	1	1
95	что дело	1	1
96	что уже	1	1
97	два направления	1	1
98	с ее	1	1
99	подчеркнуть что	1	1
100	может не	3	1
101	настоящее время	2	1
102	и что	2	1
103	еще не	3	1
104	она всегда	1	1
105	с его	1	1
106	науке и	1	1
107	различия между	1	1
108	более как	1	1
109	отличие от	2	1
110	в стадии	5	1
111	известном смысле	1	1
112	все же	3	1
113	мы видим	2	1
114	и критика	1	1
115	два основных	1	1
116	в какой	1	1
117	должен быть	1	1
118	может оказаться	1	1
119	в самом	2	1
120	в условиях	5	1
121	но как	1	1
122	в которой	2	1
123	что это	2	1
124	у каждого	3	1
125	из этих	2	1
126	тот или	2	1
127	если мы	4	1
128	в известном	1	1
129	всего мы	1	1
130	что его	1	1
131	только один	2	1
132	мира но	1	1
133	уже в	3	1
134	говорить об	2	1
135	xviii и	1	1
136	в большинстве	1	1
137	только на	1	1
138	в наших	3	1
139	только к	1	1
140	под ногами	1	1
141	мы знаем	2	1
142	мы можем	6	1
143	пример такого	1	1
144	и только	1	1
145	какой бы	1	1
146	и по	2	1
147	дело идет	1	1
148	не хотим	1	1
149	в каждом	8	1
150	а затем	1	1
151	из двух	3	1
152	и некоторой	1	1
153	или иной	2	1
154	из всех	1	1
155	развития в	2	1
156	на этой	3	1
157	ясно что	3	1
158	его в	1	1
159	бы эти	1	1
160	весь мир	1	1
161	в природе	1	1
162	в живом	2	1
163	в ином	1	1
164	которая и	1	1
165	в этой	3	1
166	как и	6	1
167	бы ее	1	1
168	в развитии	4	1
169	когда в	1	1
170	и еще	1	1
171	и при	1	1
172	работы в	1	1
173	так же	1	1
174	и особенно	1	1
175	всяком случае	2	1
176	в отличие	2	1
177	знаем что	2	1
178	в данном	1	1
179	вопрос о	4	1
180	когда и	1	1
181	можно говорить	1	1
182	и более	1	1
183	там где	1	1
184	друг с	2	1
185	почва под	1	1
186	xix в	1	1
187	в древней	1	1
188	и вся	1	1
189	этой области	1	1
190	xviii века	1	1
191	что эта	1	1
192	она не	1	1
193	что с	1	1
194	но для	1	1
195	для каждого	1	1
196	этом смысле	1	1
197	с и	1	1
198	она может	2	1
199	не имеет	1	1
200	никогда не	1	1
201	и всегда	1	1
202	в результате	6	1
203	в настоящее	2	1
204	с двух	1	1
205	этих двух	2	1
206	не более	1	1
207	и первое	1	1
208	всеми его	1	1
209	промежуток времени	1	1
210	которой расположены	1	1
211	происходящего в	1	1
212	и именно	2	1
213	что все	2	1
214	единства в	1	1
215	к действию	3	1
216	вместе с	4	1
217	выработанные в	1	1
218	что при	2	1
219	во всяком	2	1
220	они не	1	1
