N	3gram	Vinokur_St_2	Vladivir
1	в том что	16	10
2	тем не менее	2	9
3	о том что	11	8
4	с точки зрения	2	6
5	вместе с тем	5	6
6	более или менее	2	5
7	что же касается	1	5
8	в конце концов	1	5
9	и в этом	2	5
10	дело в том	4	5
11	к тому же	2	5
12	точно так же	1	4
13	никогда не был	1	4
14	в то время	1	4
15	том что в	2	3
16	в настоящее время	1	3
17	в этом смысле	1	3
18	бы то ни	2	3
19	то что в	2	3
20	во всяком случае	3	3
21	в то же	1	3
22	в отличие от	2	3
23	как мы видели	1	3
24	что в этом	1	2
25	иметь в виду	3	2
26	при таких условиях	1	2
27	сам по себе	1	2
28	в этом отношении	9	2
29	совершенно так же	2	2
30	он никогда не	1	2
31	в это время	2	2
32	так же как	3	2
33	в данном случае	1	2
34	себе отчет в	1	2
35	имеет ничего общего	1	2
36	мы видели выше	1	2
37	так или иначе	1	2
38	в связи с	1	2
39	на себя внимание	2	2
40	с другой стороны	3	2
41	и в том	1	2
42	не имеет ничего	1	2
43	обращает на себя	3	2
44	ни в каком	1	2
45	то же время	1	2
46	и вместе с	1	2
47	ничего общего с	1	2
48	что в своем	3	2
49	на то что	2	2
50	к тому что	5	2
51	к первому изданию	1	1
52	раз об этой	1	1
53	но как раз	1	1
54	того что и	1	1
55	чтобы можно было	1	1
56	за год до	1	1
57	в виду что	1	1
58	между прочим и	1	1
59	не только с	2	1
60	в котором он	1	1
61	в таком виде	1	1
62	так что в	1	1
63	внимание на то	1	1
64	том что он	5	1
65	в том же	2	1
66	говорит здесь о	1	1
67	в этом случае	1	1
68	то что с	1	1
69	до сих пор	5	1
70	в первую очередь	1	1
71	с тем что	2	1
72	но и здесь	2	1
73	и в тех	1	1
74	если оно не	1	1
75	с тех пор	1	1
76	одно и то	1	1
77	по этому поводу	2	1
78	не могло быть	1	1
79	него даже в	1	1
80	вопрос о том	3	1
81	не создает никаких	1	1
82	в свете этой	1	1
83	ни в одном	2	1
84	то ни было	2	1
85	не говоря уже	1	1
86	точки зрения но	1	1
87	и то же	1	1
88	в известном смысле	1	1
89	но вместе с	1	1
90	основана не на	1	1
91	мнение о том	1	1
92	то что он	2	1
93	в каком смысле	1	1
94	нам еще предстоит	1	1
95	был напечатан в	1	1
96	потому что они	1	1
97	не входя в	1	1
98	не имеет никакого	1	1
99	одна с другой	1	1
100	не мог не	1	1
101	а то что	1	1
102	шесть лет раньше	1	1
103	имел в виду	1	1
104	как раз об	1	1
105	против того что	1	1
106	с самого начала	3	1
107	не только не	2	1
108	во внимание его	1	1
109	к графине с	1	1
110	при решении вопроса	1	1
111	в самом деле	2	1
112	я не стану	1	1
113	и в результате	1	1
114	в данном отношении	1	1
115	заключается в том	1	1
116	можно предполагать что	1	1
117	каком смысле не	1	1
118	в том числе	1	1
119	в том смысле	2	1
120	в письме к	5	1
121	отдавая себе отчет	1	1
122	он не только	1	1
123	тем что в	1	1
124	для того чтобы	5	1
