1	в книге	2	3
2	и в	31	2
3	в том	30	2
4	том что	16	2
5	в конце	3	2
6	в шкловский	1	2
7	конце концов	3	2
8	по поводу	2	1
9	все это	8	1
10	то чего	1	1
11	хочу сказать	1	1
12	столь же	4	1
13	гораздо более	2	1
14	в частности	3	1
15	далеко не	2	1
16	только в	14	1
17	а только	2	1
18	в которых	3	1
19	и его	7	1
20	дело в	1	1
21	к созданию	1	1
22	теории литературы	1	1
23	под влиянием	3	1
24	расположения и	1	1
25	положений которые	1	1
26	и составляет	2	1
27	хотя бы	1	1
28	все дело	2	1
29	и изменяется	1	1
30	сводится к	1	1
31	одно и	1	1
32	и то	2	1
33	другое дело	1	1
34	главным образом	2	1
35	в этом	12	1
36	от других	2	1
37	совершенно ясно	19	1
38	одном и	1	1
39	веселовский с	1	1
40	но это	3	1
41	то же	5	1
42	материалов и	1	1
43	и заключается	1	1
44	в значительной	1	1
45	и не	16	1
46	хотел сказать	2	1
47	к чему	2	1
48	к этому	4	1
49	и только	3	1
50	поэтического творчества	1	1
51	все то	3	1
52	потому что	10	1
53	в их	1	1
54	все время	4	1
55	к расположению	2	1
56	не хотел	1	1
57	и самым	2	1
58	то я	2	1
59	я не	1	1
60	в самом	11	1
61	по существу	4	1
62	самом деле	9	1
63	и том	1	1
64	так как	18	1
65	ясно что	19	1
66	чем к	1	1
67	говоря о	1	1
68	находится под	1	1
69	именно в	1	1
70	время в	1	1
71	том же	2	1
