N	2gram	Medvedev_S_1	Russkaja
1	не может	1	22
2	и не	1	19
3	в том	5	17
4	в этом	5	17
5	и в	3	14
6	то что	2	13
7	то же	2	11
8	таким образом	2	11
9	в то	1	10
10	же время	1	10
11	но и	2	10
12	не только	3	9
13	том что	2	9
14	может быть	2	9
15	во всяком	1	9
16	прежде всего	1	8
17	отнюдь не	1	7
18	в данном	1	7
19	о том	1	7
20	мы должны	1	7
21	все это	7	6
22	что он	1	6
23	всяком случае	1	6
24	а между	1	5
25	между собой	1	5
26	было бы	2	5
27	в своей	1	5
28	никогда не	1	5
29	между тем	1	5
30	и только	3	5
31	только в	2	5
32	хотя бы	1	5
33	конечно не	1	5
34	по существу	2	5
35	а в	1	5
36	но не	1	4
37	все же	1	4
38	не в	3	4
39	в этой	1	4
40	его в	1	4
41	как и	1	4
42	в мире	1	4
43	в его	3	4
44	как бы	2	4
45	что в	2	4
46	вряд ли	1	3
47	еще не	2	3
48	что это	1	3
49	главным образом	2	3
50	и по	1	3
51	связи с	1	3
52	точке зрения	1	3
53	что все	1	3
54	для этого	1	3
55	может не	1	3
56	в лучшем	1	3
57	в виде	1	3
58	в конце	2	3
59	тем что	1	3
60	именно в	1	3
61	не было	1	3
62	и потому	1	3
63	лучшем случае	1	3
64	она может	2	3
65	конце концов	2	3
66	и как	1	3
67	и есть	1	2
68	должна быть	2	2
69	но она	1	2
70	время в	1	2
71	именно на	1	2
72	по отношению	2	2
73	друг от	1	2
74	сама по	1	2
75	и наконец	1	2
76	все эти	1	2
77	по самому	1	2
78	по себе	1	2
79	на основании	1	2
80	в этих	1	2
81	в котором	1	2
82	место в	1	2
83	в силу	1	2
84	и более	1	2
85	том и	1	2
86	тому что	1	2
87	только для	1	2
88	в таких	1	2
89	для нас	3	2
90	у него	1	2
91	как будто	2	2
92	в области	1	2
93	и о	1	2
94	от друга	1	2
95	даже не	1	2
96	и должно	1	2
97	настоящее время	1	2
98	и что	2	2
99	представить себе	1	2
100	а с	1	2
101	зависит от	1	2
102	в частности	2	2
103	единственный путь	1	2
104	благодаря этому	1	2
105	стоит только	1	2
106	остается в	1	2
107	в результате	2	2
108	в настоящее	1	2
109	с ним	1	2
110	это и	2	1
111	что эти	1	1
112	противном случае	1	1
113	на тех	1	1
114	всему этому	1	1
115	мы не	1	1
116	ввести в	2	1
117	в сущности	1	1
118	придется не	1	1
119	столь же	1	1
120	в область	1	1
121	но как	1	1
122	только тогда	1	1
123	очевидно что	2	1
124	в противном	1	1
125	перед нами	1	1
126	кто не	1	1
127	но ведь	3	1
128	иначе и	1	1
129	и способностей	1	1
130	же это	1	1
131	базируются на	1	1
132	и заключается	2	1
133	тем же	1	1
134	или даже	2	1
135	данный человек	1	1
136	это не	1	1
137	и мы	2	1
138	со своими	1	1
139	иначе говоря	1	1
140	что данный	1	1
141	на первый	1	1
142	собой не	1	1
143	на точке	1	1
144	стало быть	1	1
145	по крайней	1	1
146	бы о	1	1
147	вовсе не	1	1
148	даже в	1	1
149	хотелось бы	1	1
150	образом в	1	1
151	но только	1	1
152	это же	1	1
153	что на	1	1
154	вот в	1	1
155	как только	2	1
156	слова но	1	1
157	же самое	1	1
158	только то	1	1
159	так и	1	1
160	те же	1	1
161	это зависит	2	1
162	никак не	1	1
163	с другой	1	1
164	должно было	1	1
165	на отдельные	1	1
166	крайней мере	1	1
167	один из	1	1
168	или не	1	1
169	и будет	1	1
170	быть для	1	1
171	в свои	1	1
172	к которому	2	1
173	как же	3	1
174	еще и	1	1
175	на этот	1	1
176	в связи	1	1
177	и никакая	1	1
178	его собственные	1	1
179	на ней	1	1
180	быть не	1	1
181	какие же	1	1
182	на все	1	1
183	это как	1	1
184	в те	1	1
185	бы в	1	1
186	тем более	2	1
187	из тех	1	1
188	отношению к	2	1
189	у которых	1	1
190	ни на	1	1
191	этого и	1	1
192	они не	1	1
