N	2gram	Losev_Dial_2	Mirosoze
1	у достоевского	1	42
2	может быть	20	30
3	не только	19	29
4	и в	19	28
5	не может	9	28
6	но и	12	25
7	а не	16	25
8	он не	4	24
9	в этом	8	20
10	не было	3	18
11	у него	1	17
12	не в	8	16
13	потому что	14	16
14	это –	23	16
15	в ней	2	15
16	в своей	8	15
17	человека и	2	14
18	и есть	4	14
19	он был	1	14
20	никогда не	9	14
21	в нем	10	13
22	и он	1	12
23	и это	5	12
24	он –	6	12
25	в самом	5	11
26	и не	30	11
27	в своем	4	10
28	было бы	3	10
29	что в	7	10
30	в мире	2	10
31	прежде всего	8	10
32	что он	6	10
33	и потому	5	10
34	и все	12	10
35	достоевского в	1	9
36	с тем	2	9
37	но он	4	9
38	и его	5	9
39	не есть	47	9
40	в его	1	9
41	человек в	1	9
42	в глубине	1	8
43	в котором	1	8
44	но не	6	8
45	не был	1	7
46	но в	2	7
47	в себе	15	7
48	быть может	1	7
49	в конце	2	7
50	любви к	1	7
51	к нему	4	7
52	того что	6	7
53	нет ничего	1	7
54	должна быть	5	6
55	и на	1	6
56	он сам	1	6
57	в которой	2	6
58	в этой	3	6
59	все в	2	6
60	только в	5	6
61	вместе с	2	6
62	все это	4	6
63	человек и	1	6
64	в том	14	6
65	нет и	1	5
66	если он	1	5
67	в глубину	3	5
68	от нее	1	5
69	это не	10	5
70	как и	10	5
71	если нет	1	5
72	что есть	2	5
73	не могут	4	5
74	то что	14	5
75	и я	2	5
76	– не	9	5
77	мира и	1	5
78	смысле слова	1	4
79	это и	3	4
80	есть не	7	4
81	за пределы	4	4
82	духа и	1	4
83	то нет	1	4
84	не к	1	4
85	не как	2	4
86	и по	4	4
87	в них	1	4
88	в этих	3	4
89	точки зрения	12	4
90	в их	2	4
91	человека но	2	4
92	она не	8	4
93	мог бы	1	4
94	что и	5	4
95	тему о	1	4
96	значит что	12	4
97	уже не	3	4
98	уже в	4	4
99	есть уже	2	4
100	ни с	4	4
101	а в	4	4
102	тем что	2	4
103	но человек	1	4
104	и вместе	1	4
105	свободе и	1	4
106	был в	2	4
107	всю жизнь	1	4
108	не знал	1	4
109	с этой	1	4
110	не знает	1	4
111	небо и	1	4
112	его не	2	3
113	не была	1	3
114	из глубины	1	3
115	не созерцает	1	3
116	с этим	3	3
117	когда он	1	3
118	духа в	1	3
119	бы и	2	3
120	в братьях	1	3
121	и еще	1	3
122	и вот	4	3
123	на этом	2	3
124	и с	5	3
125	его в	3	3
126	его личности	2	3
127	в жизни	2	3
