N	3gram	Tiupa_Hudo_1	Dialekti
1	по крайней мере	1	9
2	с точки зрения	3	8
3	сама по себе	2	7
4	в том что	7	6
5	то или иное	1	4
6	одно и то	3	4
7	и то же	3	4
8	в связи с	1	4
9	только то что	1	4
10	то же время	5	4
11	о том что	1	4
12	с другой стороны	5	4
13	что иное как	1	3
14	в таком случае	1	3
15	в то же	5	3
16	может быть и	2	3
17	не что иное	1	3
18	содержит в себе	1	3
19	а не сама	1	3
20	не может быть	3	3
21	в то время	1	3
22	можно сказать что	3	3
23	в той или	2	2
24	иметь в виду	1	2
25	в виду что	1	2
26	более или менее	5	2
27	в силу своей	1	2
28	тем не менее	3	2
29	не могут быть	1	2
30	так или иначе	3	2
31	есть не что	1	2
32	та или иная	1	2
33	и прежде всего	1	2
34	то же самое	1	2
35	том что она	1	1
36	точки зрения и	1	1
37	я думаю что	1	1
38	мы говорим о	1	1
39	видим в нем	1	1
40	это было бы	1	1
41	имея в виду	1	1
42	подобно тому как	1	1
43	в этом смысле	3	1
44	в том и	2	1
45	если он не	1	1
46	так и его	1	1
47	у достоевского в	1	1
48	не было и	1	1
49	и в то	1	1
50	бы то ни	1	1
51	в каждом человеке	1	1
52	точно так же	1	1
53	а только лишь	1	1
54	ту или иную	1	1
55	в принципе однако	1	1
56	субъект и объект	1	1
57	как раз в	1	1
58	так же как	1	1
59	в виду не	3	1
60	с одной стороны	2	1
61	на первый взгляд	1	1
62	он мог бы	1	1
63	и не быть	1	1
64	не содержит в	1	1
65	личности а не	1	1
66	и в этой	1	1
67	приводит к тому	2	1
68	ведет нас к	1	1
69	личности как это	1	1
70	а в другом	1	1
71	в том отношении	1	1
72	исторического бытия и	1	1
73	и в том	1	1
74	при всей своей	1	1
75	личности с ее	1	1
76	того или иного	3	1
77	чужой психики но	1	1
78	заключается в том	1	1
79	в мире без	1	1
80	это и есть	1	1
81	а не ее	1	1
82	в душе моей	1	1
83	тем и другим	1	1
84	не сама жизнь	1	1
85	той или иной	4	1
86	том отношении что	1	1
87	каждой из них	1	1
88	в своей жизни	1	1
89	к тому что	2	1
90	в узком и	1	1
91	всем потому что	1	1
92	то что они	1	1
93	дело не в	1	1
94	том что он	1	1
95	на театральной сцене	1	1
96	к тому же	1	1
97	по себе а	1	1
98	и не происходит	1	1
99	обратим внимание на	1	1
