N	3gram	Losev_Prob_5	KulturaY
1	и т д	1	14
2	в том что	8	10
3	можно было бы	1	9
4	с точки зрения	8	8
5	для того чтобы	2	8
6	в самом деле	1	7
7	то обстоятельство что	1	7
8	с другой стороны	5	7
9	только потому что	1	6
10	по крайней мере	4	6
11	в этом смысле	3	5
12	во всяком случае	2	5
13	тем не менее	5	5
14	не только в	1	4
15	не может быть	2	4
16	точки зрения в	1	3
17	в этом отношении	1	3
18	точно так же	3	3
19	в конце концов	6	3
20	в связи с	7	3
21	то же время	1	3
22	в то же	1	3
23	потому что он	2	2
24	не говоря уже	1	2
25	на самом деле	1	2
26	но даже и	2	2
27	говоря уже о	1	2
28	в наше время	1	2
29	до некоторой степени	4	2
30	несмотря на то	1	2
31	с этой точки	1	2
32	то или иное	1	2
33	вместе с тем	3	2
34	может быть только	3	2
35	что он лишен	1	2
36	в результате этого	1	2
37	и потому что	1	2
38	и в том	1	2
39	этой точки зрения	1	2
40	но все же	2	2
41	можно сказать что	3	2
42	на то что	2	2
43	так или иначе	1	2
44	в том смысле	1	1
45	хотя и не	1	1
46	да и то	1	1
47	то что я	1	1
48	в виду не	1	1
49	состоит в том	1	1
50	чуть ли не	1	1
51	дело в том	2	1
52	чтобы покончить с	1	1
53	одно общее замечание	1	1
54	по его мнению	1	1
55	таким же образом	1	1
56	в настоящее время	3	1
57	под тем же	1	1
58	уже не в	1	1
59	до сих пор	2	1
60	сам по себе	1	1
61	потому что у	1	1
62	также и то	2	1
63	бы то ни	2	1
64	виду не только	1	1
65	мы могли бы	1	1
66	а так как	1	1
67	но это не	1	1
68	с тех пор	1	1
69	и не в	2	1
70	и то что	3	1
71	и в частности	3	1
72	то время как	3	1
73	уже о том	1	1
74	в данном случае	2	1
75	не потому что	1	1
76	можно ли в	1	1
77	мы находим и	2	1
78	то ни было	1	1
79	с одной стороны	3	1
80	потому что оно	1	1
81	а также и	1	1
82	том что и	1	1
83	едва ли не	1	1
84	то что вы	1	1
85	но не только	1	1
86	мере в какой	1	1
87	потому что не	1	1
88	хотя бы на	1	1
89	в то время	3	1
90	может быть это	1	1
91	найти и в	2	1
92	связи с этим	1	1
93	хотя и с	1	1
94	о том что	9	1
95	и никогда не	2	1
96	с самого начала	1	1
97	что иное как	3	1
98	в большинстве случаев	1	1
99	после того как	3	1
100	что не все	1	1
101	он все еще	1	1
102	не что иное	3	1
103	тех или иных	2	1
104	сама по себе	1	1
105	в предисловии к	1	1
106	потому что они	2	1
107	к тому же	1	1
108	только тогда когда	3	1
109	то только потому	1	1
110	также и в	2	1
