N	3gram	Tiupa_Narr_1	TeoriaLi
1	по отношению к	6	8
2	кадров внутреннего зрения	1	7
3	в отличие от	5	7
4	в том что	8	6
5	то же время	3	6
6	в то же	3	6
7	присутствия в мире	2	5
8	так и не	2	5
9	в данном случае	4	5
10	не сводится к	2	5
11	того или иного	2	5
12	состоит в том	3	4
13	более или менее	2	4
14	в конечном счете	2	4
15	ни в мире	3	3
16	в своем составе	1	3
17	с другой стороны	4	3
18	тем не менее	3	3
19	можно сказать что	4	3
20	в свою очередь	3	3
21	той или иной	4	3
22	в этом смысле	1	3
23	по своей природе	1	2
24	и того же	1	2
25	в данный момент	1	2
26	и не могло	1	2
27	всех без исключения	1	2
28	они хотят и	1	2
29	мы имеем дело	2	2
30	личностного присутствия в	1	2
31	в соответствии с	1	2
32	причастной вненаходимости бахтин	1	2
33	так и его	1	2
34	своей природе суть	1	2
35	с точки зрения	2	2
36	тот или иной	1	2
37	при этом что	1	2
38	и позволяет говорить	1	2
39	позволяет говорить о	1	2
40	значении этого слова	2	2
41	тогда как в	2	2
42	не могло быть	1	2
43	в рамках которого	1	2
44	с одной стороны	7	2
45	в равной степени	1	2
46	а с другой	1	2
47	суть то что	1	2
48	так или иначе	2	2
49	но не слияние	1	2
50	речевая маска такого	2	2
51	что они хотят	1	2
52	то что они	1	2
53	хотят и свершают	1	2
54	и тем самым	3	2
55	природе суть то	1	2
56	в русской литературе	1	2
57	индивидуального речевого замысла	2	2
58	в этой системе	1	2
59	одного и того	1	2
60	в мире это	1	2
61	и в форме	2	2
62	тех или иных	1	2
63	вокруг я героя	2	2
64	сближение но не	1	2
65	не может быть	5	2
66	как и в	1	2
67	авторства выше она	1	1
68	от диалогической ситуации	1	1
69	совершенно иной жизни	1	1
70	у себя в	1	1
71	точки зрения и	1	1
72	анекдотической стратегией морализме	1	1
73	притчи креативная компетенция	1	1
74	может как быть	1	1
75	в вероятностном и	1	1
76	вещами и ценностями	1	1
77	себя в другом	1	1
78	в организации кадров	1	1
