N	3gram	Ircho_Kome_3	Tvorches
1	и т д	1	11
2	в то же	4	7
3	то же время	4	7
4	в соответствии с	1	4
5	до сих пор	9	3
6	по отношению к	3	3
7	о том что	4	2
8	в том же	1	2
9	по самой своей	1	2
10	с полным правом	1	2
11	и в то	1	2
12	с другой стороны	2	2
13	и т п	3	2
14	в том что	9	2
15	едва ли не	1	2
16	и не может	1	2
17	так и в	1	2
18	в отличие от	1	2
19	в самом деле	6	2
20	во всяком случае	3	2
21	по крайней мере	1	2
22	с самого начала	4	1
23	в этой связи	2	1
24	в том числе	1	1
25	на то чтобы	1	1
26	о том как	3	1
27	то по крайней	1	1
28	молодого человека в	2	1
29	и в этом	1	1
30	именно потому что	2	1
31	в первую очередь	1	1
32	и никогда не	1	1
33	к ней в	1	1
34	не сводится к	1	1
35	к тому же	4	1
36	друг за другом	1	1
37	мы понимаем что	1	1
38	можно принять за	1	1
39	об этом не	1	1
40	и если бы	1	1
41	сих пор еще	1	1
42	ничего общего с	1	1
43	не зная о	1	1
44	в построении образов	1	1
45	но при этом	1	1
46	и не стал	1	1
47	даже если он	1	1
48	в конечном счете	2	1
49	даже не в	1	1
50	до начала действия	1	1
51	в связи с	3	1
52	отношении к ней	1	1
53	что у него	1	1
54	в виду что	1	1
55	в г в	1	1
56	уже после опубликования	1	1
57	том числе и	1	1
58	все это делает	1	1
59	так и не	1	1
60	как уже говорилось	1	1
61	которую она должна	1	1
62	в третий раз	1	1
63	в каждом из	1	1
64	в случае с	1	1
65	в свою очередь	6	1
66	и между ними	1	1
67	хотя и не	2	1
68	в то время	2	1
