N	3gram	Losev_Dial_2	Analitik
1	в том что	6	7
2	с другой стороны	4	5
3	о том что	4	5
4	по крайней мере	9	4
5	в данном случае	2	3
6	то же время	4	3
7	той или иной	1	3
8	в то же	3	3
9	к тому же	1	3
10	в этом отношении	1	3
11	крайней мере в	2	2
12	подобно тому как	1	2
13	том что он	1	2
14	так и его	1	2
15	с точки зрения	8	2
16	с одной стороны	1	2
17	сама по себе	7	2
18	тем не менее	2	2
19	во всяком случае	2	2
20	в свое время	1	2
21	что несмотря на	1	2
22	и прежде всего	2	2
23	можно сказать что	3	2
24	и может быть	3	1
25	что иное как	3	1
26	в той или	2	1
27	должно быть ни	1	1
28	не говоря уже	2	1
29	на самом деле	1	1
30	в самом деле	3	1
31	в этом смысле	1	1
32	обратим внимание на	1	1
33	что в общем	1	1
34	до сих пор	2	1
35	говоря уже о	2	1
36	в таком случае	3	1
37	в зависимости от	2	1
38	и далее в	1	1
39	может и не	1	1
40	но о событиях	1	1
41	с тех пор	2	1
42	при всей своей	1	1
43	со всех сторон	1	1
44	по себе а	1	1
45	ту или иную	1	1
46	и жениться на	1	1
47	как раз в	1	1
48	что не есть	1	1
49	не есть ни	6	1
50	сам по себе	3	1
51	совершенно не было	1	1
52	не только в	2	1
53	мы имеем не	1	1
54	не могут быть	2	1
55	и в этой	1	1
56	и как бы	1	1
57	так или иначе	2	1
58	не в том	1	1
59	в связи с	4	1
60	нет никакой возможности	1	1
61	того или иного	1	1
62	есть не что	2	1
63	не может быть	3	1
64	и к ним	1	1
65	крайней мере не	1	1
66	не должно быть	2	1
67	само по себе	2	1
68	не нуждается в	3	1
69	как бы ни	2	1
70	вопрос о том	1	1
71	речь идет о	1	1
72	до тех пор	1	1
73	заключается в том	1	1
74	не что иное	3	1
75	во многих отношениях	1	1
76	то что они	1	1
77	дело не в	1	1
78	что и в	1	1
79	также что в	1	1
80	в отдельности и	1	1
