N	3gram	Bakhtin_Fr_8	KulturaY
1	для того чтобы	2	15
2	в том что	6	15
3	с точки зрения	2	9
4	по отношению к	1	8
5	в самом деле	1	7
6	с другой стороны	2	6
7	о том что	2	5
8	в этом отношении	1	5
9	до сих пор	8	4
10	не в том	1	4
11	состоит в том	1	3
12	более или менее	2	3
13	в этом смысле	1	3
14	о том как	1	3
15	можно было бы	1	3
16	вместе с тем	1	3
17	и тогда когда	1	3
18	не потому что	1	3
19	в связи с	3	3
20	а с другой	1	3
21	не может быть	2	3
22	и еще один	1	2
23	на самом деле	1	2
24	так и в	1	2
25	в свое время	1	2
26	то же время	10	2
27	заключается в том	1	2
28	и в самом	1	2
29	речь идет о	1	2
30	в то же	10	2
31	том что оно	1	2
32	как целое в	1	1
33	том что она	1	1
34	можно себе представить	1	1
35	в одном ряду	1	1
36	и его ближайших	1	1
37	эти слова и	1	1
38	язык в его	1	1
39	на том же	1	1
40	на той же	1	1
41	и в особенности	2	1
42	одном ряду с	1	1
43	в настоящее время	3	1
44	только в контексте	1	1
45	это уже не	1	1
46	и там где	1	1
47	в эти свои	1	1
48	с одной стороны	2	1
49	такие явления как	1	1
50	и в той	1	1
51	и в то	5	1
52	в таких случаях	1	1
53	в отличие от	1	1
54	с тем чтобы	1	1
55	упоминает о таком	1	1
56	языка и стиля	1	1
57	что все это	2	1
58	в этом понимании	1	1
59	то что обычно	1	1
60	нужно для того	1	1
61	если бы в	1	1
62	к языку и	1	1
63	и вместе с	1	1
64	во всех этих	1	1
65	и с этой	1	1
66	вместо того чтобы	1	1
67	вовсе еще не	2	1
68	потому что они	1	1
69	до наших дней	1	1
70	здесь как бы	2	1
71	без всякой логической	1	1
72	уже не просто	1	1
73	в ее целом	1	1
74	той или иной	1	1
75	еще один пример	1	1
76	к языку как	1	1
77	что нет ничего	1	1
78	в большинстве случаев	6	1
79	после того как	1	1
80	свидетельствуют о том	1	1
81	таким образом в	1	1
82	но дело не	2	1
83	и в слове	1	1
