N	2gram	Berdyaev_O_1	Dialekti
1	т е	4	46
2	не есть	2	40
3	и не	13	30
4	и есть	3	19
5	а не	11	18
6	ничего не	2	17
7	может быть	11	17
8	то что	5	16
9	и в	19	15
10	как бы	3	14
11	не имеет	2	14
12	так как	2	14
13	что это	1	13
14	по себе	2	13
15	это есть	1	13
16	того что	3	13
17	это не	3	12
18	в этом	12	11
19	и вот	3	11
20	в том	5	11
21	прежде всего	9	11
22	не может	4	11
23	и все	10	11
24	том что	2	10
25	потому что	9	10
26	личности и	2	10
27	мы не	1	9
28	было бы	3	9
29	в виду	1	9
30	и что	1	9
31	уже не	1	9
32	и пр	1	9
33	все это	6	9
34	не в	11	8
35	в себе	3	8
36	не только	11	8
37	и это	1	8
38	и о	2	8
39	и ее	3	8
40	должна быть	1	7
41	как и	6	7
42	и его	4	7
43	что он	3	7
44	что в	4	7
45	есть просто	1	6
46	хотя и	2	6
47	если бы	1	6
48	что и	2	6
49	так что	2	6
50	вовсе не	1	6
51	и даже	1	6
52	а именно	1	6
53	нет ничего	7	6
54	сказать что	2	6
55	если вы	1	5
56	в сущности	1	5
57	и на	2	5
58	с его	4	5
59	в своем	2	5
60	то в	1	5
61	учение о	2	5
62	на то	1	5
63	что она	1	5
64	в нем	10	5
65	есть не	1	5
66	в жизни	1	5
67	же это	2	5
68	в ней	1	5
69	того чтобы	4	5
70	о том	3	5
71	так и	2	5
72	и можно	1	5
73	для того	3	5
74	и для	2	5
75	также и	1	4
76	хотя бы	3	4
77	что они	2	4
78	в этой	5	4
79	и как	1	4
80	с их	1	4
81	в силу	1	4
82	и с	2	4
83	с тем	2	4
84	мир и	1	4
85	она не	1	4
86	что все	2	4
87	еще не	3	4
88	в его	7	4
89	оказывается что	1	4
90	с ними	1	4
91	ни с	7	4
92	в одном	1	4
93	само по	1	4
94	но это	1	4
95	один из	1	4
96	бы в	1	4
97	жизни и	1	4
98	но и	13	4
99	отношения к	1	3
100	и то	2	3
101	чего не	1	3
102	и тут	1	3
103	со стороны	1	3
104	в истории	2	3
105	как в	1	3
106	своей и	1	3
107	и нет	2	3
108	когда он	3	3
109	но в	2	3
110	от этого	1	3
111	та же	1	3
112	бы и	1	3
113	все эти	4	3
114	всегда и	1	3
115	в своей	2	3
116	нет никакого	1	3
117	свободы и	2	3
118	могут быть	3	3
119	бытия но	1	3
120	даже и	2	3
121	что не	4	3
122	говорит о	1	3
123	у нас	1	3
124	и потому	2	3
125	от него	7	3
126	с ним	3	3
127	личность и	1	3
128	совершенно не	1	3
129	к этому	2	3
130	нем нет	3	2
131	человека и	10	2
132	и без	1	2
133	он всегда	7	2
134	вопрос о	10	2
135	бы ни	1	2
136	себе что	1	2
137	сам по	1	2
138	на нем	1	2
139	природы и	2	2
140	себе и	1	2
141	и чем	1	2
142	все же	2	2
143	в этот	2	2
144	в самом	5	2
145	в которой	2	2
146	думать что	1	2
147	а это	1	2
148	в глубине	7	2
149	лишь в	7	2
150	это было	3	2
151	заключается в	1	2
152	истории и	1	2
153	в них	1	2
154	должно быть	2	2
155	нисколько не	1	2
156	со всей	1	2
157	том как	1	2
158	в котором	1	2
159	по сравнению	1	2
160	что было	1	2
161	не могли	2	2
162	что есть	2	2
163	в отношении	1	2
164	вообще но	1	2
165	того как	1	2
166	никогда не	9	2
167	она должна	1	2
168	во всем	1	2
169	ничто не	2	2
170	не по	1	2
171	как будто	1	2
172	не могут	3	2
173	а что	1	2
174	всегда есть	4	2
175	в диалектику	1	2
176	можно и	1	2
177	и тогда	1	2
178	в ее	2	2
179	и когда	1	2
180	в разных	1	2
181	находится в	1	2
182	никогда и	2	2
183	о нем	1	2
184	ты ли	1	2
185	ее в	2	2
186	это должно	1	2
187	же и	1	2
188	но о	1	2
189	из них	1	2
190	был бы	1	2
191	никто не	3	2
192	тем что	2	2
193	от того	1	2
194	не было	9	2
195	и из	2	2
196	что человек	3	2
197	с той	1	2
198	его как	1	2
199	в частности	1	2
200	как это	1	2
201	в человеке	9	2
202	сравнению с	1	2
203	что же	2	2
204	да и	1	2
205	быть не	1	2
206	у достоевского	19	2
207	и ни	2	2
208	отношении к	1	2
209	еще ничего	1	2
210	это все	1	2
211	природе и	1	2
212	в свое	1	2
213	сила и	1	2
214	во всяком	1	2
215	все что	3	2
216	смысле слова	1	1
217	чтобы не	1	1
218	и через	1	1
219	с кем	1	1
220	на самом	1	1
221	но тем	1	1
222	к другому	1	1
223	и больше	1	1
224	видеть в	1	1
225	и рассудок	1	1
226	и откровения	1	1
227	сказать с	1	1
228	его не	2	1
229	сложнее и	2	1
230	не одно	1	1
231	и он	8	1
232	в бездне	1	1
233	собой в	1	1
234	он сам	4	1
235	и нигде	1	1
236	что люди	1	1
237	из сторон	1	1
238	и все-таки	2	1
239	и всякий	1	1
240	к богу	1	1
241	в новом	1	1
242	отношение к	5	1
243	потому это	1	1
244	и я	1	1
245	в одной	1	1
246	как к	2	1
247	что нет	1	1
248	два и	1	1
249	за все	2	1
250	жизни есть	1	1
251	говорят о	1	1
252	с какой	1	1
253	существует лишь	1	1
254	за это	1	1
255	его а	1	1
256	когда будет	1	1
257	достоевского в	3	1
258	свободе человека	1	1
259	ничего и	2	1
260	только один	1	1
261	чувств и	1	1
262	в противоречиях	1	1
263	бездну и	1	1
264	с чем	2	1
265	человек не	7	1
266	он не	7	1
267	раз навсегда	1	1
268	о которой	2	1
269	что нужно	1	1
270	и более	1	1
271	и начинается	1	1
272	людей и	1	1
273	и заключается	1	1
274	же не	1	1
275	да неужто	1	1
276	том случае	1	1
277	это я	1	1
278	его в	2	1
279	она стала	1	1
280	только одно	3	1
281	бытие и	1	1
282	всю жизнь	1	1
283	и очень	2	1
284	искать не	2	1
285	ведет к	1	1
286	опять-таки не	1	1
287	он должен	1	1
288	но он	7	1
289	вещей и	1	1
290	что сам	1	1
291	свобода и	2	1
292	жизни а	1	1
293	всего его	1	1
294	уходящая в	1	1
295	с которой	2	1
296	ее с	1	1
297	в процессе	1	1
298	тайна и	1	1
299	он еще	1	1
300	можно ли	2	1
301	его всегда	1	1
302	и лик	1	1
303	самой жизни	1	1
304	одна из	1	1
305	и весь	1	1
306	и лишь	1	1
307	природы в	2	1
308	это так	1	1
309	а в	5	1
310	бытия как	1	1
311	бог и	1	1
312	нет кроме	2	1
313	человека в	11	1
314	всего в	2	1
315	всего что	1	1
316	они и	1	1
317	он видит	1	1
318	кем и	1	1
319	в нас	1	1
320	с образом	1	1
321	что делается	1	1
322	из всего	2	1
323	не могу	1	1
324	в голову	1	1
325	нет никакой	1	1
326	природе своей	1	1
327	во тьме	1	1
328	можно было	1	1
329	в бездну	1	1
330	там это	1	1
331	по природе	1	1
332	почему же	1	1
333	настолько же	2	1
334	быть может	3	1
335	человек по	1	1
336	и здесь	1	1
337	для целей	1	1
338	его жизни	1	1
339	необходим для	1	1
340	после того	1	1
341	все его	1	1
342	кроме человека	3	1
343	к нему	3	1
344	вечной жизни	1	1
345	но ничего	1	1
346	доходит до	1	1
347	не подходит	1	1
348	его бесконечной	2	1
349	все в	4	1
350	все время	1	1
351	человека как	1	1
352	что только	1	1
353	будто бы	1	1
354	было и	1	1
355	их не	2	1
356	себе есть	1	1
357	уже в	2	1
358	еще одну	1	1
359	в душе	2	1
360	и других	1	1
361	его и	1	1
362	одно из	2	1
363	не так	1	1
364	есть та	1	1
365	в бесконечную	1	1
366	цели и	1	1
367	в конце	1	1
368	человек так	1	1
369	которой нет	1	1
370	чем и	1	1
371	границы и	1	1
372	она и	1	1
373	и человека	1	1
374	что природа	1	1
375	и прежде	1	1
376	дело в	1	1
377	пределы и	1	1
378	но есть	1	1
379	что для	2	1
380	к человеку	9	1
381	их взаимоотношения	1	1
382	на этот	1	1
383	до конца	7	1
384	и самый	1	1
385	нужно считать	1	1
386	той стороны	1	1
387	него не	2	1
388	мира в	1	1
389	которые будут	1	1
390	я хочу	1	1
391	в недра	1	1
392	но оно	1	1
393	отличается от	1	1
394	человек в	1	1
395	изысканий и	1	1
396	ко всем	2	1
397	человека к	2	1
398	с идеалом	1	1
399	ничего нет	1	1
400	других его	1	1
401	все внимание	1	1
402	и бесконечным	1	1
403	в чистом	1	1
404	ней не	1	1
405	в это	1	1
406	которая ни	1	1
407	почему вы	1	1
408	своей жизни	2	1
409	ближе к	1	1
410	плоти и	1	1
411	в великом	1	1
412	отношениях к	1	1
413	указать на	1	1
414	и от	3	1
415	в силах	1	1
416	человек и	4	1
417	ее и	1	1
418	и темное	1	1
419	наметить одну	1	1
420	есть уже	1	1
421	жизни в	2	1
422	мира он	1	1
423	не быть	1	1
424	но можно	1	1
425	в глаза	1	1
426	разум и	1	1
427	на своем	1	1
428	случае если	1	1
429	в своих	3	1
