1	у него в	3	5
2	для того чтобы	1	3
3	что же это	1	2
4	у него не	1	2
5	же это за	1	2
6	не может быть	1	2
7	потому что в	1	1
8	в этом отношении	1	1
9	у него совершенно	1	1
10	и то что	5	1
11	ко всему этому	2	1
12	что это за	1	1
13	мужчины и женщины	1	1
14	в самом начале	1	1
15	то что в	1	1
16	и в его	2	1
17	он никогда не	2	1
18	так и не	2	1
19	не в том	3	1
20	в этот период	1	1
21	в том что	9	1
22	хотя и не	2	1
23	у него до	1	1
24	само по себе	2	1
25	после того как	2	1
26	он не только	1	1
27	в самом деле	1	1
28	и в том	1	1
29	не было и	1	1
30	и прежде всего	1	1
31	свое учение о	1	1
32	сам по себе	2	1
33	с вопросом о	1	1
34	о том что	3	1
35	совсем не было	1	1
36	на то что	2	1
37	и он был	1	1
38	него до конца	1	1
39	было для него	1	1
40	и все же	2	1
41	у вл соловьева	11	1
42	а это было	1	1
43	во всяком случае	6	1
44	и не в	1	1
