N	3gram	Tiupa_Vved_1	Mirosoze
1	не может быть	3	8
2	добра и зла	1	5
3	что иное как	1	3
4	никогда не было	1	3
5	у него нет	1	3
6	в высшей степени	2	3
7	и в этом	1	3
8	потому что она	1	3
9	не что иное	1	3
10	а не в	1	2
11	подобно тому как	2	2
12	но это не	1	2
13	и та же	1	2
14	одна и та	1	2
15	на этом пути	1	2
16	о том что	4	2
17	по отношению к	7	2
18	как и в	2	2
19	что это не	1	2
20	в том что	3	2
21	и зла а	1	1
22	такого рода исследований	1	1
23	так и не	1	1
24	а не к	1	1
25	в этом мире	1	1
26	а также в	1	1
27	того что есть	1	1
28	друг на друга	1	1
29	но и в	2	1
30	в этом отношении	4	1
31	в той мере	2	1
32	человек в нем	1	1
33	на то что	1	1
34	в значительной степени	1	1
35	бы и не	2	1
36	а не только	1	1
37	он в свою	1	1
38	той мере в	2	1
39	во втором случае	1	1
40	и на наших	1	1
41	по природе своей	1	1
42	в этом направлении	1	1
43	мере в какой	2	1
44	жизни в нем	1	1
45	как бы не	1	1
46	на наших глазах	1	1
47	той или иной	2	1
48	на самом деле	3	1
49	во всех его	1	1
50	по своей природе	2	1
