N	2gram	Tiupa_Disk_2	FransuaR
1	и в	16	41
2	то есть	12	24
3	и т.п	12	19
4	во всех	1	17
5	таким образом	1	17
6	в нем	7	16
7	и с	2	16
8	и его	3	13
9	но и	11	13
10	в этом	16	12
11	все эти	3	11
12	все это	2	11
13	в самом	1	10
14	не только	10	10
15	и др	1	10
16	прежде всего	7	10
17	то что	5	10
18	и на	5	9
19	о том	4	9
20	здесь в	3	9
21	и все	3	9
22	в сущности	1	8
23	но в	11	8
24	в этой	4	8
25	никогда не	2	8
26	и до	1	7
27	в них	3	7
28	как и	16	7
29	том что	10	7
30	в его	3	7
31	вовсе не	1	7
32	в особенности	1	7
33	как бы	4	7
34	что в	5	7
35	также и	3	6
36	например в	3	6
37	в году	1	6
38	в эпоху	1	6
39	в то	5	6
40	в образе	1	6
41	один из	1	6
42	вместе с	2	6
43	сказать что	1	6
44	что он	2	6
45	с его	6	5
46	в ее	1	5
47	в своем	5	5
48	в себе	19	5
49	то же	6	5
50	той же	2	5
51	еще в	3	5
52	во всем	1	5
53	тем что	1	5
54	все то	1	5
55	так и	9	5
56	и что	1	5
57	а также	8	5
58	же время	5	5
59	до нас	1	5
60	из них	3	5
61	в одном	4	5
62	большинстве случаев	1	5
63	там где	1	5
64	в той	2	5
65	одним из	1	4
66	того же	2	4
67	самом деле	1	4
68	в ней	2	4
69	он был	1	4
70	как в	8	4
71	и как	3	4
72	и наконец	3	4
73	в другом	3	4
74	не в	3	4
75	даже в	1	4
76	но они	1	4
77	в основе	4	4
78	все же	6	4
79	нового времени	5	4
80	и образ	1	4
81	роль в	4	4
82	с ним	1	4
83	другом месте	1	4
84	с одной	4	4
85	в большинстве	2	4
86	в результате	2	4
87	в котором	3	4
88	и даже	1	4
89	с другой	5	4
90	именно в	2	4
91	одной стороны	4	4
92	более того	1	4
93	и от	1	4
94	а в	2	4
95	не может	9	4
96	из этого	1	4
97	они были	1	3
98	т.п но	1	3
99	он сам	1	3
100	людей в	1	3
101	в чем	1	3
102	как у	1	3
103	в одной	1	3
104	перед нами	3	3
105	в первом	1	3
106	при этом	17	3
107	и сам	1	3
108	на первый	2	3
109	и их	1	3
110	нас не	1	3
111	втором случае	1	3
112	к этим	1	3
113	своего героя	1	3
114	потому что	4	3
115	этом отношении	4	3
116	никак не	1	3
117	во втором	1	3
118	существенную роль	1	3
119	того что	1	3
120	одной из	1	3
121	только в	3	3
122	поэтому и	1	3
123	есть в	2	3
124	не были	1	3
125	в данном	7	3
126	с миром	1	3
127	и смерти	1	3
128	и не	15	3
129	с этой	1	3
130	но это	3	3
131	в книге	1	3
132	и для	2	3
133	на границах	1	3
134	в третьем	1	3
135	на языке	2	3
136	между ними	1	3
137	жизни и	3	3
138	в искусстве	1	3
139	и то	4	2
140	тех же	1	2
141	это и	1	2
142	с точки	2	2
143	должна быть	2	2
144	том какое	1	2
145	брань и	1	2
146	мы не	1	2
147	говорить о	2	2
148	а для	1	2
149	но уже	2	2
150	из того	1	2
151	но не	7	2
152	в новом	1	2
153	за пределы	1	2
154	в истории	1	2
155	точки зрения	4	2
156	стороны и	2	2
157	хотя и	1	2
158	раз в	1	2
159	так сказать	1	2
160	он не	3	2
161	на этом	1	2
162	лишь в	1	2
163	на спине	1	2
164	и само	1	2
165	одного и	3	2
166	из этих	3	2
167	но если	1	2
168	в своей	6	2
169	их в	2	2
170	для этого	1	2
171	в таких	1	2
172	как о	1	2
173	себе самом	1	2
174	так что	1	2
175	как она	1	2
176	предполагать что	1	2
177	превращается в	1	2
178	к себе	1	2
179	не могут	1	2
180	в области	2	2
181	предыдущей главе	1	2
182	должен быть	1	2
183	данном случае	6	2
184	характер и	1	2
185	времени и	2	2
186	в романе	1	2
187	но здесь	2	2
188	и смерть	1	2
189	внимание на	1	2
190	в значительной	1	2
191	между тем	2	2
192	и во	1	2
193	там и	1	2
194	но с	1	2
195	и весьма	1	2
196	человека с	1	2
197	себя в	6	2
198	и прежде	2	2
199	каждый из	1	2
200	может быть	16	2
201	в форме	1	2
202	до конца	1	2
203	не на	2	2
204	а не	14	2
205	влияние и	1	2
206	мира в	3	2
207	преисподняя в	1	2
208	в частности	12	2
209	начиная с	1	2
210	как это	1	2
211	в предыдущей	1	2
212	внешнем мире	1	2
213	не был	1	2
214	однако они	1	2
215	лицо и	1	2
216	в пределе	3	2
217	мира и	4	2
218	в индивидуальном	1	2
219	солнца и	1	2
220	в этих	3	2
221	еще более	1	2
222	в том	8	2
223	другой стороны	2	2
224	потом и	2	1
225	переходит к	1	1
226	ее более	1	1
227	отметим что	1	1
228	то в	1	1
229	др в	1	1
230	с таким	2	1
231	встречается и	1	1
232	особенностями в	1	1
233	его не	1	1
234	поднимается на	1	1
235	для своего	1	1
236	вещами и	1	1
237	дракона но	1	1
238	чтобы не	1	1
239	он как	1	1
240	совпадает с	2	1
241	принадлежит к	3	1
242	не вполне	1	1
243	этом так	1	1
244	жизни как	2	1
245	ему в	1	1
246	из ее	1	1
247	а другие	1	1
248	еще не	6	1
249	на их	1	1
250	время в	2	1
251	тем как	1	1
252	бы не	1	1
253	во внешнем	1	1
254	о смерти	1	1
255	по отношению	4	1
256	отношение к	2	1
257	не просто	1	1
258	друга и	1	1
259	из важнейших	2	1
260	и выражения	1	1
261	и существенные	1	1
262	первых двух	1	1
263	там же	2	1
264	в этот	1	1
265	со своей	1	1
266	в которой	1	1
267	в целом	2	1
268	в нашем	1	1
269	рассказ о	2	1
270	им в	1	1
271	роли в	1	1
272	жизнью и	2	1
273	он должен	1	1
274	не определяет	1	1
275	не как	1	1
276	по общему	1	1
277	события в	1	1
278	из виду	3	1
279	мире на	1	1
280	смертью в	1	1
281	образа и	1	1
282	именно это	1	1
283	но все	1	1
284	я бы	1	1
285	значительной степени	1	1
286	для всех	1	1
287	различие между	1	1
288	же касается	2	1
289	и мотивы	1	1
290	его в	3	1
291	обоих случаях	2	1
292	пути от	1	1
293	в глазах	1	1
294	и сердце	1	1
