N	4gram	Tiupa_Hudo_1	Narrotol
1	состоит в том что	4	4
2	в то же время	5	3
3	точно так же как	1	2
4	той мере в какой	1	2
5	мы имеем дело с	1	2
6	в той мере в	1	2
7	имеет место слияние пространственных	1	1
8	а не все что	1	1
9	не субъективно оно интерсубъективно	1	1
10	судьбы они едины судьба	1	1
11	и временных примет в	1	1
12	как раз в том	1	1
13	следует иметь в виду	1	1
14	осмысленном и конкретном целом	1	1
15	не что иное как	1	1
16	не несет в себе	1	1
17	с этой точки зрения	1	1
18	в современных гуманитарных науках	1	1
19	одного и того же	2	1
20	его поступки только раскрывают	1	1
21	по отношению к которому	1	1
22	в том или ином	1	1
23	пространственных и временных примет	1	1
24	и его поступки только	1	1
25	сторону индивида и его	1	1
26	есть не что иное	1	1
27	раз в том что	1	1
28	креативного и рецептивного сознаний	1	1
29	едины судьба выражает внеличную	1	1
30	в той или иной	2	1
31	и в то же	1	1
32	место слияние пространственных и	1	1
33	временных примет в осмысленном	1	1
34	специфически человеческий способ существования	1	1
35	позицию по отношению к	1	1
36	внеличную сторону индивида и	1	1
37	от своей судьбы они	1	1
38	судьба выражает внеличную сторону	1	1
39	отделен от своей судьбы	1	1
40	индивида и его поступки	1	1
41	они едины судьба выражает	1	1
42	имеет в своем составе	1	1
43	примет в осмысленном и	1	1
44	только раскрывают содержание судьбы	1	1
45	присутствия я в мире	4	1
46	не отделен от своей	1	1
47	в осмысленном и конкретном	1	1
48	слияние пространственных и временных	1	1
49	как уже говорилось выше	1	1
50	во всей его полноте	1	1
51	выражает внеличную сторону индивида	1	1
52	не следует смешивать с	3	1
53	поступки только раскрывают содержание	1	1
54	своей судьбы они едины	1	1
