N	3gram	Vinokur_St_3	Sotsiolo
1	в том что	11	2
2	дело не в	1	2
3	в конце концов	3	2
4	не в том	3	2
5	и в этом	2	1
6	не может не	1	1
7	по крайней мере	4	1
8	то что в	1	1
9	в наше время	1	1
10	то же самое	1	1
11	должно было бы	1	1
12	благодаря тому что	1	1
13	в то же	3	1
14	что в них	1	1
15	в этих мелочах	1	1
16	а с другой	2	1
17	в этой области	2	1
18	по существу это	1	1
19	в связи с	3	1
20	ни на что	1	1
21	то же время	3	1
22	в лучшем случае	1	1
23	с одной стороны	2	1
24	в те же	1	1
25	во всяком случае	4	1
