N	3gram	Nazirov_Tv_2	TeoriaLi
1	по отношению к	3	8
2	в отличие от	2	7
3	в том что	2	6
4	то же время	7	6
5	в то же	7	6
6	так и не	1	5
7	не сводится к	1	5
8	того или иного	1	5
9	в конечном счете	1	4
10	с другой стороны	2	3
11	в свою очередь	1	3
12	той или иной	1	3
13	в соответствии с	4	2
14	при этом что	1	2
15	войне и мире	1	2
16	а с другой	1	2
17	в русской литературе	1	2
18	не может быть	3	2
19	как и в	1	2
20	но прежде всего	2	1
21	том что в	1	1
22	если он не	1	1
23	мы видим в	1	1
24	и потому что	1	1
25	как уже говорилось	1	1
26	в центр художественного	1	1
27	дело в том	1	1
28	в том числе	1	1
29	может быть определен	1	1
30	со всех сторон	1	1
31	может быть назван	1	1
32	одним из древнейших	1	1
33	в одной из	2	1
34	в таком случае	2	1
35	в целом ряде	1	1
36	и в то	2	1
37	от всех и	1	1
38	только то что	1	1
39	том числе и	1	1
40	точно так же	1	1
41	он ни был	1	1
42	по крайней мере	2	1
43	то или иное	1	1
44	именно в этом	2	1
45	первую очередь по	1	1
46	едва ли не	2	1
47	содержит в себе	1	1
48	толпы так и	1	1
49	в романе достоевского	5	1
50	таком случае это	1	1
51	в известном смысле	1	1
52	не могут быть	1	1
53	это своего рода	1	1
54	я никогда не	1	1
55	в связи с	1	1
56	в первую очередь	1	1
57	так же как	2	1
58	жизни то есть	1	1
59	в то время	1	1
60	отношению к самому	1	1
61	это и есть	1	1
62	о том что	2	1
63	и прежде всего	1	1
64	но в то	1	1
65	именно потому что	1	1
66	по сути дела	3	1
67	между автором и	1	1
68	в частности с	1	1
69	в поле зрения	1	1
70	очередь по отношению	1	1
71	превращая его в	1	1
72	к тому же	1	1
