N	3gram	Losev_Dial_3	Problema
1	не может быть	6	11
2	с точки зрения	14	6
3	и прежде всего	3	5
4	в данном случае	1	4
5	с другой стороны	2	4
6	в конечном счете	1	4
7	на самом деле	1	3
8	в самом деле	5	3
9	бы то ни	1	3
10	может быть только	1	3
11	в применении к	1	3
12	далеко не всегда	1	3
13	с одной стороны	3	3
14	то же время	1	3
15	в том что	3	3
16	в то же	1	3
17	тем не менее	10	3
18	имеет место в	1	2
19	то же самое	1	2
20	на первый план	4	2
21	ни в коем	3	2
22	ни в чем	1	2
23	и во всех	1	2
24	и не может	1	2
25	в лучшем случае	1	2
26	в коем случае	3	2
27	и в то	1	2
28	и в частности	1	2
29	то ни было	1	2
30	есть таким образом	3	2
31	не могут быть	2	2
32	души и тела	1	2
33	того или иного	2	2
34	коем случае не	3	2
35	точки зрения самого	1	2
36	к нему и	1	2
37	той или иной	2	2
38	не может и	1	2
39	в этом отношении	1	2
40	мы о ней	1	1
41	в этом его	1	1
42	что иное как	6	1
43	в подобных случаях	1	1
44	хотя и не	2	1
45	в других областях	1	1
46	иметь в виду	2	1
47	вообще не имеет	1	1
48	в виду что	1	1
49	тем что оно	2	1
50	не есть вещь	1	1
51	тела и души	1	1
52	не говоря уже	2	1
53	для науки и	1	1
54	подобно тому как	4	1
55	и пр в	1	1
56	все что угодно	1	1
57	одной стороны и	1	1
58	имеется в виду	3	1
59	то что является	1	1
60	и следовательно не	1	1
61	если так то	1	1
62	а следовательно и	1	1
63	до сих пор	1	1
64	говоря уже о	2	1
65	сами по себе	3	1
66	но каким образом	1	1
67	на то что	3	1
68	а иногда и	1	1
69	кроме того и	1	1
70	и тем не	2	1
71	то время как	4	1
72	не что иное	6	1
73	если бы мы	1	1
74	к чему не	1	1
75	не о том	1	1
76	за пределы мира	1	1
77	и не вполне	1	1
78	и в этом	2	1
79	не есть ни	3	1
80	живет и движется	1	1
81	и как бы	1	1
82	не существует он	1	1
83	не в том	1	1
84	его отличии от	1	1
85	в связи с	1	1
86	в том смысле	1	1
87	нечего было бы	1	1
88	и в том	1	1
89	не чем иным	1	1
90	хотя бы только	2	1
91	есть не что	3	1
92	ни к чему	1	1
93	в нем нет	1	1
94	чем иным как	1	1
95	прежде всего от	3	1
96	том смысле что	1	1
97	в то время	4	1
98	это и есть	2	1
99	и т д	23	1
100	то есть и	1	1
101	не более как	1	1
102	к нему с	1	1
103	от чего не	3	1
104	ни от чего	3	1
105	как одна из	1	1
106	к тому что	2	1
107	но как только	1	1
108	как и в	3	1
109	ничто не может	1	1
110	должен обратиться к	1	1
