N	3gram	Propp_Morf_1	Narrotol
1	в том что	3	8
2	с одной стороны	1	7
3	о том что	1	6
4	по отношению к	4	6
5	не может быть	9	5
6	в данном случае	1	4
7	с другой стороны	4	4
8	но все же	3	4
9	можно сказать что	1	4
10	состоит в том	2	3
11	бы то ни	3	3
12	в этом отношении	1	3
13	то ни было	2	3
14	тем не менее	4	3
15	более или менее	2	2
16	в том или	1	2
17	подобно тому как	5	2
18	с точки зрения	2	2
19	в таком случае	1	2
20	точно так же	1	2
21	в первом случае	3	2
22	на первый взгляд	3	2
23	в связи с	8	2
24	тому или другому	1	1
25	однако далеко не	1	1
26	и одна ночь	1	1
27	на самом деле	4	1
28	и даже не	1	1
29	лишь постольку поскольку	1	1
30	том что он	1	1
31	что несмотря на	1	1
32	герой волшебной сказки	1	1
33	в полном объеме	1	1
34	это дает нам	1	1
35	до сих пор	1	1
36	до известной степени	1	1
37	не входит в	1	1
38	независимо от того	3	1
39	к тому или	1	1
40	но это не	1	1
41	одна за другой	1	1
42	до наших дней	2	1
43	она может быть	1	1
44	он идет по	1	1
45	может быть и	2	1
46	к нему в	1	1
47	далеко не всегда	1	1
48	один из них	1	1
49	а также и	3	1
50	здесь также не	1	1
51	иметь в виду	1	1
52	то что он	1	1
53	она все же	1	1
54	как мы увидим	4	1
55	будет сказано ниже	1	1
56	они не приводят	1	1
57	тысяча и одна	1	1
58	если же в	1	1
59	далеко не все	3	1
60	может быть зафиксирована	1	1
61	с этого момента	2	1
62	тех или иных	1	1
63	друг с другом	1	1
64	и как будто	1	1
65	как и в	2	1
66	здесь как и	1	1
