N	3gram	Berdyaev_O_1	Psycholo
1	для того чтобы	3	19
2	на то что	1	16
3	в том что	1	14
4	о том что	1	6
5	в самом деле	1	5
6	по сравнению с	1	4
7	заключает в себе	1	4
8	друг к другу	1	4
9	должен был бы	1	3
10	сам по себе	1	3
11	с тем что	2	3
12	и то что	1	3
13	друг с другом	1	3
14	в этом отношении	1	3
15	потому что в	1	2
16	то что в	1	2
17	и когда он	1	2
18	он должен был	1	2
19	само по себе	1	2
20	не может быть	2	2
21	и в самом	1	2
22	как бы в	1	2
23	том что в	1	1
24	он попал в	1	1
25	от него и	4	1
26	когда он попал	1	1
27	ни к каким	1	1
28	себе что он	1	1
29	и в этом	2	1
30	в другом месте	1	1
31	и не в	1	1
32	в том случае	1	1
33	он никогда не	1	1
34	что он был	1	1
35	уже указывали на	1	1
36	и в его	1	1
37	смысле этого слова	1	1
38	как будто бы	1	1
39	не могут быть	2	1
40	указывали на то	1	1
41	есть не только	1	1
42	того чтобы сделать	1	1
43	я имею в	1	1
44	что у него	2	1
45	и в том	1	1
46	на поверхности у	1	1
47	имею в виду	1	1
48	в нем нет	3	1
49	после того как	1	1
50	вот с чем	1	1
51	в романах достоевского	3	1
52	вместо того чтобы	1	1
53	и все же	1	1
54	в совершенно ином	1	1
55	но к этому	1	1
