N	4gram	Losev_Vesc_1	Dialekti
1	не что иное как	7	8
2	есть не что иное	5	5
3	и т д и	5	3
4	коем случае не есть	1	2
5	ни в коем случае	1	2
6	д и т д	5	2
7	в коем случае не	1	2
8	и т д все	1	2
9	ничего не говорит о	1	2
10	с этой точки зрения	1	2
11	т д и т	5	2
12	с его отвлеченной идеей	1	1
13	и тем не менее	1	1
14	т д все это	1	1
15	она есть прежде всего	1	1
16	а это значит что	1	1
17	вопрос о том как	1	1
18	и то и другое	1	1
19	не есть ни просто	1	1
20	и нет никакой действительности	1	1
21	от всего иного и	1	1
22	делает не что иное	1	1
23	на самом же деле	1	1
24	и есть подлинная действительность	1	1
25	случае не есть ни	1	1
26	есть то что мы	1	1
27	это и значит что	1	1
28	с тем или другим	1	1
29	сама по себе а	1	1
30	ни с какой стороны	1	1
31	диалектически это значит что	1	1
32	и – мы получим	1	1
33	должна быть не просто	1	1
34	если это так то	1	1
35	что получится если мы	1	1
36	в себе не содержит	1	1
37	вещь от всего прочего	1	1
38	это значило бы что	2	1
39	дело в том что	2	1
40	жизни и т д	1	1
41	можно только тогда когда	1	1
42	т е в сущности	2	1
43	д все это –	1	1
44	т е прежде всего	1	1
45	и есть то что	1	1
46	и есть не что	2	1
47	заключается не в том	1	1
