N	3gram	Tiupa_Vved_1	Psycholo
1	на то что	1	12
2	в том что	3	11
3	и в самом	1	10
4	то же самое	1	8
5	в сущности говоря	1	7
6	все то что	1	6
7	с одной стороны	5	5
8	с другой стороны	1	5
9	и в этом	1	3
10	как если бы	1	3
11	о том что	4	3
12	речь идет о	1	3
13	о том как	1	2
14	если бы она	1	2
15	в той степени	1	2
16	имеет место в	1	2
17	на самом деле	3	2
18	как мы увидим	1	2
19	и та же	1	2
20	на наших глазах	1	2
21	в данном случае	6	2
22	может быть не	3	2
23	не в том	1	2
24	во всяком случае	1	2
25	то что он	1	2
26	мы увидим ниже	1	2
27	мы не можем	1	2
28	в свою очередь	4	2
29	по аналогии с	1	2
30	как мы видели	2	2
31	ни о каких	1	1
32	а не к	1	1
33	этот рассказ я	1	1
34	более или менее	2	1
35	мы должны были	1	1
36	и если мы	1	1
37	это все равно	1	1
38	в зависимости от	1	1
39	слушатель или читатель	1	1
40	в отличие от	2	1
41	не могло бы	1	1
42	не было бы	1	1
43	в этом отношении	4	1
44	хотя бы одно	1	1
45	заключает в себе	1	1
46	можно было бы	2	1
47	в основе своей	1	1
48	далеко не ограничивается	1	1
49	мы читаем о	1	1
50	здесь мы имеем	1	1
51	состоит в том	2	1
52	не зависит от	1	1
53	в этом месте	1	1
54	в евгении онегине	1	1
55	а с другой	2	1
56	на второй план	1	1
57	одна и та	1	1
58	мере в какой	2	1
59	а на самом	1	1
60	но если бы	1	1
61	один и тот	1	1
62	степени в какой	1	1
63	а в том	1	1
64	и все же	4	1
65	той степени в	1	1
66	и о каждом	1	1
67	в том чтобы	2	1
68	если бы мы	1	1
69	к тому чтобы	1	1
70	можно сказать что	1	1
71	но и не	1	1
72	как бы в	1	1
73	ли это что	1	1
74	которая состоит в	2	1
75	не оказывается и	1	1
76	потому что она	1	1
77	однако и он	1	1
78	не может быть	3	1
79	в высшей степени	2	1
80	подобно тому как	2	1
81	к тому же	4	1
82	и тот же	1	1
