N	3gram	Propp_Isto_4	StatiiOP
1	о том что	2	11
2	и т д	24	6
3	до сих пор	5	5
4	вместе с тем	1	5
5	к тому что	1	5
6	что он не	1	4
7	после того как	2	4
8	так же как	12	3
9	с другой стороны	4	3
10	до того как	1	3
11	говорит об этом	2	2
12	не только по	1	2
13	у меня в	1	2
14	не только с	1	2
15	совершенно так же	6	2
16	не в том	1	2
17	то что он	2	2
18	так и в	2	2
19	но все же	4	2
20	на то что	3	2
21	за то что	1	2
22	тем не менее	2	2
23	что в этом	1	1
24	же как в	2	1
25	там где нет	1	1
26	между прочим и	1	1
27	но и по	1	1
28	и по существу	1	1
29	что он имел	1	1
30	внимание на то	1	1
31	в своей работе	1	1
32	одно из таких	1	1
33	не имеет никакого	1	1
34	и пр на	1	1
35	мы до сих	1	1
36	точно так же	5	1
37	в приложении к	1	1
38	на этот вопрос	2	1
39	ничего не говорится	1	1
40	и др в	1	1
41	это ничего не	1	1
42	в зависимости от	1	1
43	одно и то	1	1
44	не могло быть	1	1
45	даже в качестве	1	1
46	т е в	3	1
47	в данном случае	3	1
48	никакой связи с	1	1
49	в точности соответствует	2	1
50	и то же	1	1
51	мы видели выше	2	1
52	по сравнению с	3	1
53	по большей части	1	1
54	и вместе с	1	1
55	же как у	1	1
56	одни и те	1	1
57	в связи с	2	1
58	но вместе с	1	1
59	который не мог	1	1
60	что у него	1	1
61	в то время	1	1
62	в этом случае	3	1
63	но он не	1	1
64	ничего общего с	1	1
65	в связь с	1	1
66	с того что	2	1
67	и в особенности	1	1
68	и те же	1	1
69	в том числе	1	1
70	и пр или	2	1
71	как мы видели	3	1
