N	3gram	Bakhtin_sl_2	UchenyiS
1	не может быть	15	4
2	с другой стороны	1	3
3	то же время	4	3
4	в то же	4	3
5	не могут быть	2	2
6	до сих пор	2	2
7	хотя бы и	2	2
8	в этом отношении	3	2
9	на каждом шагу	2	2
10	в том что	4	2
11	тех или иных	1	2
12	том что она	1	1
13	для всех этих	1	1
14	но прежде всего	2	1
15	и в различных	1	1
16	по себе еще	1	1
17	к проблеме художественного	1	1
18	более или менее	2	1
19	большей или меньшей	1	1
20	в точном смысле	2	1
21	его и в	1	1
22	в этом случае	6	1
23	в широком смысле	1	1
24	слово как таковое	1	1
25	и не только	1	1
26	на первый план	1	1
27	и в то	1	1
28	сводится именно к	1	1
29	в той же	1	1
30	таким образом на	1	1
31	никогда не может	2	1
32	но конечно не	1	1
33	на то что	1	1
34	язык в его	1	1
35	конечно не приходится	1	1
36	конечно не в	1	1
37	у стерна у	1	1
38	ссылка на то	1	1
39	а не только	1	1
40	но в то	3	1
41	не только в	2	1
42	с одной стороны	5	1
43	и с другой	1	1
