N	4gram	Medvedev_V_1	Problema
1	не говоря уже о	1	4
2	с одной стороны и	2	3
3	не имеет ничего общего	1	2
4	только в том случае	1	2
5	в том числе и	2	2
6	имеет ничего общего с	1	2
7	уже о том что	1	1
8	в той или иной	1	1
9	говоря уже о том	1	1
10	о том что и	1	1
11	то как будто бы	1	1
12	и есть то что	1	1
13	можно было бы значительно	1	1
14	и не может быть	2	1
15	той или иной мере	1	1
16	может идти только о	1	1
17	же в таком случае	1	1
18	в какой мере не	1	1
19	не чем иным как	1	1
20	ни в какой мере	1	1
21	является не чем иным	1	1
22	в том или ином	1	1
23	в то время как	1	1
24	в том случае если	1	1
25	значит ли это что	1	1
26	так же как и	1	1
27	можно говорить только о	1	1
28	не может быть никакого	1	1
29	и в то же	3	1
30	в точном смысле слова	2	1
31	это и есть то	1	1
32	было бы значительно увеличить	1	1
33	речь может идти только	1	1
34	как один из видов	1	1
