N	2gram	Trubetskoy_1	Mirosoze
1	и в	14	46
2	в нем	5	22
3	у него	2	22
4	это –	1	22
5	может быть	9	21
6	в этом	17	20
7	не только	9	18
8	и не	19	18
9	никогда не	5	18
10	для него	6	18
11	во имя	5	16
12	но и	10	15
13	не может	22	15
14	человека в	1	14
15	как и	4	13
16	а не	2	13
17	не есть	3	13
18	друг друга	3	12
19	прежде всего	8	12
20	потому что	5	12
21	не было	3	11
22	в ней	2	11
23	но в	2	10
24	в себе	9	10
25	он не	5	10
26	он был	1	9
27	не в	4	9
28	и есть	2	8
29	в своем	6	8
30	на земле	4	8
31	любовь к	2	8
32	так как	4	8
33	она не	2	8
34	переходит в	1	8
35	в любви	1	8
36	человека к	1	8
37	как бы	4	8
38	но это	2	8
39	в мире	4	7
40	и к	6	7
41	в этой	4	7
42	русского человека	1	7
43	любви к	2	7
44	хотя бы	5	7
45	и потому	3	7
46	и для	6	7
47	что он	6	7
48	вопрос о	5	6
49	там и	2	6
50	что это	3	6
51	он сам	3	6
52	так же	2	6
53	того что	3	6
54	жизни и	4	6
55	то же	11	5
56	есть не	1	5
57	друг к	1	5
58	к отрицанию	2	5
59	в самом	3	5
60	привести к	1	5
61	и вот	2	5
62	что все	3	5
63	к другу	1	5
64	в своей	5	5
65	в конце	3	5
66	во всем	4	5
67	к тому	7	5
68	и это	1	5
69	те же	1	5
70	это не	1	5
71	один из	1	5
72	в его	4	5
73	для того	6	5
74	то что	13	5
75	гармонии и	1	5
76	тот кто	1	5
77	и все	1	5
78	в духе	1	5
79	также и	1	4
80	к чему	2	4
81	на деле	1	4
82	в жизни	1	4
83	народа и	2	4
84	в царстве	1	4
85	том что	9	4
86	тому что	2	4
87	того чтобы	8	4
88	должны быть	1	4
89	должен быть	1	4
90	что у	1	4
91	так и	1	4
92	для этого	3	4
93	бы друг	1	4
94	в русском	1	4
95	себя в	4	4
96	уже не	2	4
97	вопроса о	1	4
98	что и	3	4
99	в свою	1	4
100	они не	1	4
101	до конца	1	4
102	самого себя	7	4
103	что в	4	4
104	все что	4	4
105	же как	1	3
106	это и	1	3
107	они были	1	3
108	и на	5	3
109	иное как	1	3
110	идет дальше	1	3
111	в россии	6	3
112	не будет	7	3
113	и с	7	3
114	на все	1	3
115	его в	4	3
116	мира сего	1	3
117	с самим	2	3
118	на почве	2	3
119	ни в	2	3
120	все равно	1	3
121	для чего	1	3
122	и тогда	2	3
123	в такой	1	3
124	не для	1	3
125	любви и	1	3
126	можно ли	3	3
127	принадлежат к	2	3
128	и всегда	1	3
129	по своей	1	3
130	людей и	2	3
131	только с	2	3
132	к ближнему	1	3
133	себя и	5	3
134	ничего подобного	1	3
135	если бы	6	3
136	с ним	2	3
137	и должно	2	3
138	о том	7	3
139	и во	3	3
140	должен привести	1	3
141	что они	3	3
142	к которой	6	3
143	каждого человека	1	3
144	в том	17	3
145	только в	5	3
146	не так	2	3
147	тем что	3	3
148	от того	4	3
149	до сих	5	3
150	к которому	1	3
151	считает себя	2	3
152	связано с	1	3
153	с которым	1	3
154	для человека	1	3
155	решения вопроса	1	3
156	– не	2	3
157	жизни в	5	3
158	сих пор	5	3
159	и от	2	3
160	отношении к	2	3
161	есть и	2	3
162	в своих	6	3
163	и человек	2	3
164	отношения к	2	2
165	он считает	1	2
166	от этой	2	2
167	есть единственная	2	2
168	с таким	1	2
169	и за	1	2
170	в сфере	1	2
171	но она	2	2
172	не был	1	2
173	во всех	5	2
174	россии и	3	2
175	к богу	7	2
176	по отношению	2	2
177	есть по	1	2
178	себе и	4	2
179	нельзя было	1	2
180	от этого	1	2
181	от своей	2	2
182	то в	3	2
183	в смысл	1	2
184	в которой	1	2
185	если человек	2	2
186	бы не	1	2
187	и тот	2	2
188	и те	2	2
189	если он	1	2
190	но на	1	2
191	и если	7	2
192	на его	1	2
193	этого вопроса	1	2
194	не к	2	2
195	лишь в	3	2
196	то все	1	2
197	а за	1	2
198	не всегда	1	2
199	должно быть	3	2
200	в церкви	1	2
201	богу и	1	2
202	народ живет	1	2
203	в этих	2	2
204	точки зрения	11	2
205	другим и	1	2
206	нас не	1	2
207	ее в	2	2
208	место в	2	2
209	бог есть	1	2
210	ему как	1	2
211	тогда когда	4	2
212	природы в	1	2
213	к ней	1	2
214	связи с	3	2
215	к соединению	4	2
216	было не	1	2
217	как будто	2	2
218	личности к	1	2
219	в основе	1	2
220	к себе	2	2
221	нет ни	1	2
222	быть назван	1	2
223	приходит к	3	2
224	людей в	1	2
225	мысль о	1	2
226	верит в	1	2
227	можно было	4	2
228	быть может	1	2
229	по себе	2	2
230	в разных	1	2
231	и что	2	2
232	в сущности	1	2
233	к нему	2	2
234	у всех	1	2
235	такой человек	1	2
236	бы его	2	2
237	а лишь	4	2
238	между тем	5	2
239	народа на	1	2
240	так что	2	2
241	же и	1	2
242	своей природы	1	2
243	и других	1	2
244	человека на	1	2
245	не о	2	2
246	почему не	1	2
247	были бы	2	2
248	или иной	5	2
249	души и	1	2
250	что не	1	2
251	превращается в	1	2
252	человеческой жизни	1	2
253	личности и	1	2
254	вместе с	4	2
255	это есть	2	2
256	что же	4	2
257	да и	3	2
258	понял что	1	2
259	совести и	1	2
260	ничего кроме	1	2
261	но для	2	2
262	тогда все	1	2
263	человек и	1	2
264	ее и	1	2
265	но когда	1	2
266	бы в	1	2
267	соединяется с	1	2
268	быть и	2	2
269	а в	5	2
270	к самому	1	2
271	отношению к	1	2
