N	2gram	Vinokur_Ku_2	Hudozhes
1	в качестве	8	19
2	состоит в	2	16
3	и не	16	16
4	не только	20	15
5	и в	23	15
6	в том	19	15
7	может быть	15	13
8	в частности	2	13
9	при этом	2	12
10	и его	3	12
11	а в	3	12
12	но не	6	11
13	в этом	18	11
14	в себе	1	11
15	я в	1	11
16	то же	6	10
17	по отношению	1	10
18	как бы	4	10
19	так и	4	10
20	а не	10	10
21	но и	7	10
22	такого рода	1	9
23	точки зрения	14	9
24	в его	5	9
25	в рамках	1	8
26	своего рода	4	8
27	сводится к	3	8
28	отличие от	2	7
29	но в	11	7
30	в принципе	1	7
31	в отличие	2	7
32	в то	4	7
33	или иной	1	7
34	с другой	8	7
35	в искусстве	1	7
36	с его	1	6
37	отношение к	1	6
38	том что	11	6
39	не в	8	6
40	же время	3	6
41	в ее	1	6
42	приводит к	5	6
43	не может	9	6
44	что в	10	6
45	в их	2	5
46	в самом	12	5
47	то что	9	5
48	не предполагает	1	5
49	ни в	4	5
50	тем самым	2	5
51	могут быть	4	5
52	с ее	1	5
53	можно сказать	4	5
54	а также	3	5
55	того что	3	5
56	только в	5	5
57	уже не	8	5
58	между ними	1	5
59	другой стороны	7	5
60	в нем	4	5
61	отношения к	2	4
62	и то	5	4
63	мы имеем	5	4
64	место в	1	4
65	говорить о	4	4
66	еще не	5	4
67	а только	3	4
68	как к	1	4
69	хотя и	4	4
70	и как	1	4
71	роли в	1	4
72	он не	3	4
73	в другом	2	4
74	и тем	5	4
75	в слове	1	4
76	в этих	1	4
77	в своей	2	4
78	между тем	6	4
79	в форме	3	4
80	для него	1	4
81	со стороны	4	4
82	прежде всего	8	4
83	а на	2	4
84	не знает	3	4
85	как это	5	4
86	к тому	4	4
87	по пути	1	4
88	сказать что	4	4
89	речи и	5	4
90	того же	3	3
91	на деле	1	3
92	в целом	1	3
93	что можно	3	3
94	в виду	3	3
95	как правило	1	3
96	конечном счете	2	3
97	и к	1	3
98	или иного	2	3
99	всего лишь	3	3
100	в которой	1	3
101	не следует	5	3
102	он должен	1	3
103	лишь в	5	3
104	это не	6	3
105	этом смысле	5	3
106	как и	2	3
107	с точки	8	3
108	но он	1	3
109	тем не	6	3
110	их в	1	3
111	однако в	1	3
112	в отношении	2	3
113	не менее	7	3
114	в структуре	1	3
115	как раз	3	3
116	потому что	25	3
117	имеет место	1	3
118	не будет	1	3
119	говорит и	1	3
120	в пределах	4	3
121	так в	3	3
122	мог бы	1	3
123	если бы	12	3
124	и что	8	3
125	того или	2	3
126	в конечном	2	3
127	что он	5	3
128	к нему	2	3
129	или иным	1	3
130	не случайно	1	3
131	в области	11	3
132	далеко не	1	3
133	не на	2	3
134	была бы	4	3
135	по своему	1	3
136	в данном	4	3
137	в той	2	3
138	искусства это	1	3
139	и для	2	3
140	таким образом	5	3
141	в свою	2	3
142	и это	3	2
143	это и	3	2
144	идет о	1	2
145	по преимуществу	2	2
146	противном случае	1	2
147	в году	2	2
148	совпадает с	1	2
149	я не	5	2
150	этого термина	2	2
