N	2gram	Tiupa_Vved_1	VLabPisa
1	таким образом	4	27
2	в этом	21	26
3	и в	13	25
4	не только	20	22
5	может быть	18	21
6	хотя бы	1	20
7	и не	12	19
8	не может	7	17
9	в его	4	15
10	в процессе	1	14
11	этом отношении	4	13
12	в том	10	13
13	прежде всего	7	13
14	в частности	13	12
15	как это	1	12
16	все это	1	12
17	в силу	2	11
18	с другой	5	11
19	из них	1	11
20	в художественном	1	10
21	в качестве	8	10
22	о том	5	10
23	то же	5	9
24	что в	3	9
25	как видим	1	9
26	об этом	4	9
27	для него	3	9
28	но и	19	9
29	и др	1	9
30	к этому	2	9
31	в своем	5	8
32	все эти	1	8
33	не следует	3	8
34	другой стороны	2	8
35	могут быть	4	8
36	во всех	2	7
37	по отношению	7	7
38	из этих	3	7
39	было бы	4	7
40	как и	11	7
41	том что	7	7
42	в конечном	1	7
43	не было	2	7
44	а не	15	7
45	вместе с	1	7
46	же в	1	7
47	отношению к	7	7
48	в зависимости	1	6
49	более или	2	6
50	в себе	5	6
51	в нем	5	6
52	это не	6	6
53	или менее	2	6
54	их в	2	6
55	том же	1	6
56	и его	5	6
57	в то	4	6
58	так и	8	6
59	между тем	1	6
60	бы и	4	6
61	у него	1	6
62	то что	6	6
63	одним из	5	5
64	в их	1	5
65	зависимости от	1	5
66	конечном счете	1	5
67	все же	6	5
68	в пределах	2	5
69	не в	6	5
70	тому что	1	5
71	же время	3	5
72	связи с	1	5
73	на основе	1	5
74	приводит к	2	5
75	произведения как	1	5
76	один из	3	5
77	действующих лиц	2	5
78	как бы	4	5
79	не является	3	5
80	в результате	3	5
81	сказать что	1	5
82	только в	6	5
83	в искусстве	1	5
84	в этой	1	4
85	перед нами	6	4
86	в самом	2	4
87	в целом	3	4
88	что все	1	4
89	них не	1	4
90	в них	2	4
91	даже в	1	4
92	одна из	4	4
93	никогда не	4	4
94	к тому	6	4
95	для его	1	4
96	должен быть	1	4
97	в ее	1	4
98	это только	2	4
99	можно сказать	4	4
100	что он	1	4
101	в нашей	1	4
102	в одном	1	4
103	как раз	2	4
104	в связи	1	4
105	приведенных выше	1	4
106	в романе	6	4
107	в своей	5	4
108	например в	2	3
109	сил и	1	3
110	в котором	8	3
111	всего лишь	5	3
112	и он	1	3
113	в которых	1	3
114	но как	1	3
115	что они	1	3
116	и к	2	3
117	в противоположность	1	3
118	что без	1	3
119	всех этих	1	3
120	и по	3	3
121	в работе	1	3
122	далеко не	4	3
123	что не	1	3
124	с тем	1	3
125	в слове	3	3
126	мы видели	2	3
127	как целого	1	3
128	во время	1	3
129	точки зрения	1	3
130	и ее	1	3
131	это делает	1	3
132	а вот	1	3
133	как о	2	3
134	это мы	1	3
135	к работе	1	3
136	со своим	1	3
137	сводится к	4	3
138	не столь	1	3
139	у нас	1	3
140	том как	3	3
141	различного рода	3	3
142	в виду	1	3
143	никак не	2	3
144	в значительной	1	3
145	что и	2	3
146	вслед за	2	3
147	того что	6	3
148	большей или	1	3
149	или меньшей	1	3
150	не обходится	1	3
151	и их	1	3
152	в конце	1	3
153	так же	1	3
154	по поводу	2	3
155	при всем	1	3
156	и от	2	3
157	или в	1	3
158	бы в	3	3
159	действительной жизни	1	3
160	только что	1	3
161	жизни и	7	3
162	как известно	1	2
163	также и	4	2
164	и через	1	2
165	получает в	1	2
166	он может	1	2
167	на отсутствие	1	2
168	а как	1	2
169	мы имеем	5	2
170	часто не	1	2
171	говорить о	2	2
172	подчеркнуть что	5	2
173	в ней	4	2
174	еще не	7	2
175	бы не	2	2
176	но не	5	2
177	если в	2	2
178	том числе	1	2
179	относится к	1	2
180	отнюдь не	7	2
181	стороны и	1	2
182	и слова	1	2
183	хотя и	7	2
184	но в	6	2
185	картины в	1	2
186	он в	1	2
187	ни одна	1	2
188	лица и	1	2
189	как он	2	2
190	что она	1	2
191	три года	1	2
192	он не	3	2
193	том чтобы	2	2
194	подобно тому	2	2
195	так например	1	2
196	человека в	1	2
197	льва толстого	1	2
198	с другими	1	2
199	и отдельные	1	2
200	в жизни	4	2
201	как об	1	2
202	результате чего	1	2
203	не всегда	2	2
204	он и	2	2
205	и для	3	2
206	восприятия и	1	2
207	что такое	18	2
208	всяком случае	1	2
209	не столько	4	2
210	от его	1	2
211	по крайней	1	2
212	если бы	7	2
213	по себе	2	2
214	можно ли	1	2
215	не менее	4	2
216	дня и	1	2
217	в науке	1	2
218	не по	1	2
219	пока еще	4	2
220	того чтобы	1	2
221	не вполне	3	2
222	в сознании	4	2
223	даже самая	1	2
224	в области	3	2
225	ли это	2	2
226	ли не	2	2
227	же самое	1	2
228	числе и	1	2
229	мысль о	1	2
230	роль в	1	2
231	он сам	1	2
232	и даже	1	2
233	во всяком	1	2
234	лишь в	2	2
235	от них	1	2
236	во всей	1	2
237	крайней мере	1	2
238	но с	1	2
239	всех его	1	2
240	с одной	5	2
241	у них	1	2
242	могло бы	3	2
243	вовсе не	1	2
244	к ним	2	2
245	при всей	2	2
246	не о	2	2
247	в особенности	1	2
248	одной стороны	5	2
249	или иной	3	2
250	как у	1	2
251	еще и	1	2
252	что для	1	2
253	к сожалению	1	2
254	зависит от	2	2
255	легко и	1	2
256	о чем	2	2
257	что мы	2	2
258	не об	1	2
259	тому как	2	2
260	стороны в	1	2
261	было в	1	2
262	начиная с	3	2
263	и потому	1	2
264	из которых	1	2
265	в течение	1	2
266	персонажей и	2	2
267	войны и	3	2
268	между прочим	1	2
269	этом и	2	2
270	можно было	2	2
271	каждой из	1	2
272	этого рода	1	2
273	не подлежит	1	2
274	мира и	2	2
275	ни одного	1	2
276	будто бы	3	2
277	все они	2	2
278	а в	6	2
279	в целях	1	2
280	а о	1	2
281	между ними	1	2
282	к его	3	2
283	частности в	2	2
284	в своих	2	2
285	они не	1	2
286	которая не	2	2
287	речь идет	1	1
288	в сфере	1	1
289	в словесной	1	1
290	в движение	1	1
291	таком случае	1	1
292	начинается с	1	1
293	одного дня	3	1
294	попытки этого	1	1
295	самом деле	3	1
296	и так	1	1
297	бесконечное число	1	1
298	оно может	1	1
299	противном случае	1	1
300	должна быть	2	1
301	у гоголя	1	1
302	как мы	3	1
303	это что	1	1
304	сведена к	1	1
305	они могут	1	1
306	нам в	1	1
307	именно к	1	1
308	не слишком	1	1
309	своей судьбы	1	1
310	но она	1	1
311	хотя ни	1	1
312	на себя	1	1
313	обыкновенно не	2	1
314	из того	1	1
315	следует смешивать	1	1
316	мы и	2	1
317	похожи на	1	1
318	это время	2	1
319	свою очередь	4	1
320	ее разрешению	1	1
321	мертвых душ	4	1
322	между собой	2	1
323	здесь не	2	1
324	и мира	3	1
325	по своему	2	1
326	как если	1	1
327	своей работе	1	1
328	порой и	1	1
329	а только	1	1
330	дело обстоит	1	1
331	не все	2	1
332	ответ на	1	1
333	быть сведена	1	1
334	воплощенной в	1	1
335	его развития	1	1
336	образов но	2	1
337	которые не	1	1
338	в истории	1	1
339	опирается на	1	1
340	сознания в	3	1
341	целый ряд	2	1
342	и наконец	2	1
