N	3gram	Propp_Russ_2	Literetu
1	в том что	18	11
2	состоит в том	13	5
3	в отличие от	3	5
4	в данном случае	6	4
5	по аналогии с	1	3
6	в том же	1	3
7	дело в том	1	2
8	подобно тому как	3	2
9	в этом отношении	1	2
10	из того что	1	2
11	все же в	1	2
12	с одной стороны	2	2
13	во всяком случае	1	2
14	о том что	4	2
15	тем не менее	2	2
16	в другом месте	1	1
17	может быть назван	1	1
18	как например в	1	1
19	иметь в виду	1	1
20	на то что	1	1
21	во многих случаях	2	1
22	для этой цели	2	1
23	между тем как	1	1
24	можно было бы	1	1
25	по этому поводу	2	1
26	в это время	1	1
27	в этой связи	1	1
28	на первый взгляд	1	1
29	и в этом	1	1
30	но может быть	1	1
31	в этом и	2	1
32	с другой стороны	1	1
33	не может быть	3	1
34	к себе в	1	1
35	в свою очередь	1	1
36	не только на	1	1
37	был уверен что	1	1
38	тем более что	1	1
39	это еще не	1	1
40	пока еще не	2	1
